NQUEST,nord,INTPER,nattivita,PARTIME,CONTRATT,TUTTANNO,MESILAV,ATTEST,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM,CONTAZ1,CONTAZ2,CONTAZ3
5416,2,1,1,1,1,1,,1,2,35,2,,10800,2,,2,2,2
5416,3,1,1,1,1,1,,1,1,20,2,,8000,2,,2,2,2
5416,4,1,1,1,1,1,,1,2,40,2,,13000,2,,2,2,2
7886,2,1,1,2,1,2,3,1,1,20,2,,1500,2,,2,2,2
20297,2,1,1,1,1,2,2,1,2,48,2,,9800,2,,2,2,2
22173,1,1,1,1,1,1,,1,1,30,2,,14000,2,,2,2,2
22624,2,1,1,1,1,1,,1,1,30,2,,16500,2,,2,2,2
22624,4,1,1,1,2,1,,1,1,40,2,,11000,2,,2,2,2
23797,1,1,1,1,1,1,,1,1,40,2,,18200,2,,2,2,2
23823,2,1,1,1,1,1,,1,1,44,2,,15000,2,,2,2,2
24853,2,2,1,1,1,1,,1,8,24,2,,19500,2,,2,2,2
27238,2,1,1,1,1,1,,1,2,32,2,,12000,2,,2,2,2
27238,3,1,1,1,1,2,4,1,2,40,2,,5000,2,,2,2,2
27730,3,2,1,1,1,1,,1,2,36,2,,20000,2,,2,2,2
29680,1,1,1,1,1,1,,1,1,44,2,,14000,2,,2,2,2
29680,3,1,1,1,2,2,6,1,1,40,2,,5000,2,,2,2,2
31625,1,1,1,1,1,1,,1,4,40,2,,26000,1,2000,2,1,2
31695,1,1,1,1,1,1,,1,6,45,1,4,27000,2,,2,2,2
31724,1,1,1,1,1,1,,1,7,40,2,,40000,2,,1,2,2
31724,2,2,1,2,1,1,,1,4,27,2,,12000,2,,2,1,2
31860,1,1,1,1,1,1,,1,8,36,2,,23000,1,500,2,2,2
31860,2,1,1,1,1,1,,1,8,21,2,,19000,2,,2,2,2
31860,3,1,1,1,1,2,2,1,8,36,2,,2500,2,,2,2,2
32320,1,1,1,1,1,1,,1,8,35,2,,30000,2,,1,2,2
32320,2,1,1,1,1,1,,1,7,40,2,,40000,2,,2,2,2
32320,3,1,1,1,1,1,,1,4,39,2,,20000,2,,2,2,2
32734,1,1,1,1,1,1,,1,2,40,2,,22000,2,,2,2,2
32822,1,1,1,1,1,1,,1,8,36,1,5,14400,2,,2,2,2
33036,3,1,1,1,1,1,,1,4,40,2,,13000,2,,2,2,2
33038,1,1,1,1,1,1,,1,8,40,2,,14400,2,,2,2,2
33335,1,1,1,1,1,1,,1,8,37,1,1,19000,2,,2,2,2
34778,1,1,1,1,1,2,11,1,1,44,2,,15000,2,,2,2,2
35022,2,1,1,1,1,1,,1,2,45,2,,21000,2,,2,2,2
