NQUEST,nord,INTPER,nattivita,TUTTANNO,MESILAV,DOVELAV,ORARIO,ORETOT,FATLOR,YM
510433,1,1,1,2,6,3,3,22,8000,6000
512517,3,1,1,3,,1,3,2,200,200
676000,1,1,1,1,,2,2,12,9000,7000
677464,4,1,1,3,,3,2,15,4000,4000
681387,1,1,1,3,,3,1,25,4500,4500
683373,1,2,1,1,,2,2,30,10000,4000
687404,1,1,1,3,,1,1,10,2500,2200
806560,1,1,1,2,10,2,1,40,35000,22000
822530,1,1,1,3,,1,3,30,3000,2400
823258,3,1,1,3,,1,1,5,500,350
826234,2,1,1,3,,2,2,20,5000,4000
826234,3,1,1,3,,3,3,20,1500,1200
857273,5,1,1,2,3,2,2,48,4000,3600
859592,2,1,1,1,,1,1,15,28000,20000
862302,1,1,1,1,,2,2,45,14400,14000
874756,1,1,1,3,,1,1,10,6000,4000
879275,1,1,1,1,,1,1,30,16000,13000
889537,4,1,1,3,,3,1,10,2000,2000
891872,1,1,1,3,,1,1,20,5000,3000
892684,2,1,1,3,,1,2,2,4200,3300
893372,1,1,1,1,,2,1,20,7200,3500
896404,1,1,1,3,,2,2,10,900,500
896749,3,1,1,3,,2,2,25,500,400
898191,2,1,1,3,,1,1,1,1000,800
902417,2,2,1,2,8,3,2,25,20000,15000
905472,1,1,1,3,,2,1,12,2000,1300
910156,3,1,1,2,3,2,2,30,4200,3000
910633,2,1,1,3,,3,3,10,800,-200
912377,2,1,1,3,,1,2,5,10000,-5000
912563,1,1,1,2,2,1,2,3,2500,1800
913487,2,1,1,2,6,2,2,40,11050,8500
915113,1,1,1,1,,2,3,45,34000,23700
916843,1,1,1,3,,1,1,5,7500,5000
917964,1,1,1,2,5,2,2,70,10000,10000
918443,1,1,1,3,,3,3,5,500,500
918729,1,1,1,2,6,2,1,20,4500,2000
919492,1,1,1,2,5,2,2,7,2500,2500
919516,1,1,1,3,,1,1,4,2000,1660
919686,1,1,1,1,,1,2,2,18000,13000
919686,1,1,2,1,,2,1,2,8000,5000
919686,1,1,3,1,,1,1,1,1000,700
919686,1,1,4,3,,1,1,5,7000,5000
925510,1,1,1,1,,1,2,20,7200,7000
925579,1,1,1,1,,1,1,50,7000,6000
927696,2,1,1,3,,3,2,20,2000,1500
930364,3,1,1,1,,1,1,10,5000,2000
930606,1,1,1,1,,1,1,5,6000,3500
930712,3,1,1,2,9,2,2,40,2000,2000
930901,1,1,1,3,,1,1,10,2000,1500
930947,3,1,1,3,,3,3,2,100,100
931412,3,1,1,3,,2,2,20,5000,2500
931418,1,1,1,2,10,2,2,4,3000,3000
931544,1,1,1,3,,2,2,5,400,300
931544,1,1,2,3,,2,2,2,450,350
931562,4,1,1,3,,2,2,4,300,300
931802,1,1,1,1,,1,1,30,5000,1000
931928,3,1,1,3,,1,1,18,10000,5000
932134,1,1,1,1,,1,1,20,170000,85000
932134,1,1,2,1,,1,2,15,140000,70000
932134,1,1,3,3,,1,2,1,0,0
932134,1,1,4,2,4,1,1,3,0,0
932134,1,1,5,2,4,1,1,2,0,0
932160,2,2,1,3,,3,2,20,10000,8000
932596,3,1,1,3,,1,1,4,1000,1000
932681,3,3,1,2,6,2,1,25,0,0
934140,1,1,1,2,6,2,1,25,10000,6000
