NQUEST,nord,INTPER,nattivita,TIPOPEN,ENTEPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
173,1,1,1,1,1,2005,1800,13,2,,80
633,1,1,1,2,1,1991,300,12,2,,
633,1,1,2,3,1,2003,600,12,2,,
923,1,1,1,3,1,1997,500,13,2,,
2886,1,1,1,1,1,2010,1211,13,2,,90
2886,2,1,1,1,1,2016,2100,13,2,,100
5416,1,1,1,1,1,2020,700,12,2,,60
7886,1,1,1,1,1,2008,1800,13,2,,90
7886,1,1,2,1,2,2008,200,13,2,,15
20297,1,1,1,1,1,2014,1200,13,2,,90
20711,2,1,1,1,1,1996,2000,13,2,,100
22169,1,1,1,1,1,2002,600,13,2,,80
22169,1,1,2,5,1,2002,280,13,2,,
22173,2,2,1,1,1,1999,1000,13,2,,70
22276,1,1,1,1,1,2005,1200,12,2,,80
22286,1,2,1,1,1,1990,850,12,2,,80
22286,2,2,1,1,1,1976,650,12,2,,70
22657,1,1,1,1,1,2018,1400,12,2,,20
22657,2,1,1,1,1,2010,1500,12,2,,50
23490,1,1,1,1,1,1996,1400,12,2,,70
23821,2,1,1,3,1,2000,680,13,2,,
23823,1,1,1,3,1,2006,660,13,2,,
24147,1,1,1,1,1,2006,1730,13,2,,80
24147,2,1,1,1,1,2018,1600,13,2,,80
24809,1,1,1,3,1,2010,1000,12,2,,
24853,1,2,1,1,1,2011,2180,13,2,,110
27114,1,1,1,3,1,2010,1200,13,2,,
27116,1,1,1,3,1,2017,700,12,2,,
27238,1,1,1,1,1,2013,1050,13,2,,90
27730,1,2,1,1,1,1996,1470,13,2,,100
27734,1,1,1,1,1,2003,1159,13,2,,100
27739,1,1,1,3,1,1990,360,13,2,,
27742,1,1,1,3,1,2011,640,13,2,,
27912,1,1,1,1,1,2011,1700,13,2,,90
27912,2,1,1,1,1,2012,1000,13,2,,80
27923,1,1,1,1,1,2011,1900,13,2,,90
27923,3,1,1,5,1,2005,400,13,2,,
27923,4,1,1,5,1,2017,420,13,2,,
28992,1,1,1,3,1,2020,1350,1,2,,
29140,1,1,1,1,1,2009,1000,13,2,,100
29140,1,1,2,5,1,1973,150,13,2,,
29140,2,2,1,1,1,2015,1050,13,2,,85
29678,1,1,1,1,1,2000,1200,13,2,,80
29737,1,1,1,1,1,2017,2600,13,2,,90
29737,2,2,1,1,1,2016,1900,13,2,,100
31220,1,1,1,1,1,1998,1200,13,2,,35
31220,2,1,1,1,1,1988,890,13,2,,80
31221,1,1,1,1,1,1979,1000,13,2,,80
31221,1,1,2,3,1,1983,600,13,2,,
31221,2,1,1,5,1,1997,1000,13,2,,
31652,1,1,1,1,1,1994,1500,13,2,,95
31652,2,1,1,1,1,1993,1500,13,2,,75
31724,4,1,1,3,1,2009,564,13,2,,
31724,4,1,2,3,1,2009,1100,13,2,,
31757,1,1,1,3,1,1988,800,13,2,,
32057,1,1,1,2,1,2003,202,13,2,,
32057,2,1,1,1,1,2006,1100,13,2,,80
32190,1,1,1,1,1,2005,1400,13,2,,90
32471,1,1,1,1,1,1997,410,13,2,,70
32471,1,1,2,3,1,1987,170,13,2,,
32524,1,1,1,1,1,1987,1882,13,2,,66
32524,1,1,2,1,1,1987,350,13,2,,3
32524,2,1,1,1,1,2005,1780,13,2,,72
32524,2,1,2,1,2,2005,113,13,2,,7
32556,1,1,1,1,1,2006,1300,13,2,,80
32729,1,1,1,1,1,2015,1320,13,2,,40
32765,1,1,1,1,1,2020,1830,13,2,,80
32765,2,1,1,1,1,2020,1450,13,2,,80
32772,2,1,1,1,1,2002,1500,13,2,,80
32839,1,1,1,1,1,2000,1600,13,2,,80
32861,1,1,1,1,1,1996,1550,13,2,,100
32861,2,2,1,1,1,2010,1100,13,2,,90
33036,1,1,1,1,1,2000,820,13,2,,65
33036,4,1,1,3,1,2000,800,13,2,,
33036,4,1,2,2,1,2016,240,12,2,,
33275,1,1,1,1,1,2002,1600,13,2,,75
33275,2,2,1,1,1,2000,1600,13,2,,65
33303,1,1,1,1,1,2002,1530,13,2,,70
