NQUEST,nord,INTPER,CASD,CIGRED,CIGMESI,CIGORE,CASV,MOBD,MOBV,DISD,DISV,LIQD,LIQV,ACED,ACEV,APLD,APLV,AIPD,AIPV,BORSAD,BORSAV,RRD,RRV,ROD,ROV,ALIMD,ALIMV,ASCD,ASCV,ALTRED,ALTREV
7886,2,1,1,2,,,600,2,,2,,1,5000,,,,,,,,,,,,,,,,,,
20297,2,1,1,1,2,192,,2,,2,,2,,,,,,,,,,,,,,,,,,,
27238,3,1,1,2,,,5000,2,,2,,2,,,,,,,,,,,,,,,,,,,
27730,3,2,1,1,3,120,,2,,2,,2,,,,,,,,,,,,,,,,,,,
27923,3,1,,,,,,,,,,,,2,,1,500,2,,,,,,,,,,,,,
31724,2,2,1,1,2,50,,2,,2,,2,,,,,,,,2,,2,,1,10000,2,,2,,2,
31724,3,1,,,,,,,,,,,,,,,,,,1,600,2,,1,1500,2,,2,,2,
31724,4,1,,,,,,,,,,,,,,,,,,1,600,2,,2,,2,,2,,2,
32887,2,1,1,,,,950,2,,2,,2,,,,,,,,,,,,,,,,,,,
35322,2,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
36130,2,1,1,2,,,1600,2,,2,,2,,,,,,,,,,,,,,,,,,,
36186,1,1,2,,,,,2,,1,1500,2,,,,,,,,,,,,,,,,,,,
36186,3,1,2,,,,,2,,1,7800,2,,,,,,,,,,,,,,,,,,,
36403,1,1,,,,,,,,,,,,1,7500,2,,2,,,,,,,,,,,,,
39317,3,1,1,1,1,170,,2,,2,,2,,,,,,,,,,,,,,,,,,,
39317,4,1,1,1,1,170,,2,,2,,2,,,,,,,,,,,,,,,,,,,
39318,2,1,2,,,,,2,,1,3000,2,,,,,,,,,,,,,,,,,,,
39318,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,3000,2,,2,,2,
91079,3,1,,,,,,,,,,,,,,,,,,1,1000,2,,2,,2,,2,,2,
91081,2,2,1,1,4,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
91081,3,2,2,,,,,2,,2,,1,300,,,,,,,,,,,,,,,,,,
250010,2,1,,,,,,,,,,,,1,7000,2,,2,,,,,,,,,,,,,
500726,1,1,1,2,,,2700,2,,2,,2,,,,,,,,,,,,,,,,,,,
504453,1,2,1,1,1,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
504453,2,2,1,1,1,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
505839,1,1,1,1,3,30,,2,,2,,2,,,,,,,,,,,,,,,,,,,
506628,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
506738,2,4,,,,,,,,,,,,,,,,,,1,1400,2,,2,,2,,2,,2,
507282,1,1,1,1,2,24,,2,,2,,2,,1,1260,2,,2,,,,,,,,,,,,,
507282,2,1,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
507282,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
507282,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
507282,5,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
507444,1,,1,2,,,4200,2,,2,,2,,,,,,,,,,,,,,,,,,,
510345,1,1,,,,,,,,,,,,,,,,,,2,,1,300,2,,2,,2,,2,
