NQUEST,NORDIMM,TIPOIMM,QUOPRO,PRO1,PRO2,PRO3,PRO4,PRO5,ANPOSS,SUPAB,ANCOSTR,SUPTE,SUPTM,USOIMM,VALABIT,AFFITTO,AFFCHI,AFFMESI,AFFEFF,AFFIMP,POSS1,IMMDOVE,IMMREG,IMMEST
173,1,1,100,1,,,,,1995,70,1990,,,2,70000,2,,,,2400,1,1,,
2886,1,1,100,1,,,,,2005,40,1900,,,2,40000,2,,,,1500,4,1,,
2886,2,1,100,1,2,,,,1990,30,1900,,,2,30000,2,,,,500,1,1,,
2886,3,6,100,1,2,,,,2010,10,1968,,,2,10000,2,,,,600,1,1,,
24147,1,1,33,1,,,,,1970,120,1970,,,3,340000,1,1,12,3000,,5,1,,
24147,2,1,33,1,,,,,1970,90,1970,,,3,300000,1,1,12,3500,,5,1,,
24147,3,1,33,1,,,,,1970,110,1970,,,3,330000,1,1,12,3200,,5,1,,
24853,1,6,100,2,,,,,1975,25,1973,,,4,40000,2,,,,1500,1,2,16,
27116,1,1,33,1,,,,,2017,50,1910,,,5,20000,2,,,,200,3,1,,
27116,2,1,33,1,,,,,2017,25,1930,,,4,12000,2,,,,100,3,1,,
27116,3,7,33,1,,,,,,,,1,,4,50000,2,,,,500,3,1,,
27730,1,1,100,1,2,,,,1980,65,1980,,,2,120000,2,,,,600,1,1,,
27739,1,1,100,1,,,,,1961,110,1961,,,1,120000,2,,,,400,1,1,,
27739,2,1,100,1,,,,,1970,65,1970,,,3,70000,1,1,12,5400,,1,1,,
27739,3,3,100,1,,,,,1989,65,1950,,,3,60000,1,1,12,450,,3,1,,
31220,1,1,100,1,2,,,,1988,65,1985,,,3,70000,1,1,12,3600,,5,1,,
31220,2,3,100,1,,,,,1987,330,1972,,,3,200000,1,1,12,12000,,1,1,,
31220,3,3,100,1,,,,,1987,330,1972,,,3,200000,1,1,12,8000,,1,1,,
31221,1,1,100,1,,,,,2003,50,2003,,,5,150000,2,,,,400,1,1,,
31625,1,7,50,1,,,,,,,,1,,3,10000,1,1,12,200,,3,2,16,
31860,1,1,33,2,,,,,2018,80,1950,,,5,60000,2,,,,3000,3,1,,
32057,1,1,100,2,,,,,1980,54,1960,,,5,40000,2,,,,200,3,1,,
32524,1,1,100,2,,,,,2018,100,1978,,,5,220000,2,,,,7800,1,1,,
32524,2,1,100,1,2,,,,1989,80,1989,,,2,80000,2,,,,1500,5,1,,
