NQUEST,QUANTIMM,VALABITC,AFFITTOC,AFFEFFC,NOFITTOC,AFFIMPC,PROC1,PROC2,PROC3,PROC4,PROC5
2886,2,50000,2,,1,1800,1,2,,,
24147,3,1000000,1,10000,2,,1,,,,
27739,2,90000,1,3840,1,3850,1,,,,
32524,1,10000,2,,1,500,1,,,,
32887,1,170000,1,3000,2,,1,,,,
33335,2,100000,2,,1,8000,1,2,,,
39318,1,10000,2,,2,,1,,,,
57138,4,120000,1,300,1,3000,1,,,,
145007,2,400000,2,,1,20000,2,,,,
500001,5,5000,2,,1,500,1,,,,
505818,1,5000,2,,1,200,1,2,,,
635112,3,170000,2,,2,,1,2,,,
671153,6,200000,1,7200,1,7200,1,2,,,
674815,2,5000,2,,2,,1,2,,,
675334,1,10000,2,,2,,1,,,,
682272,7,15000,2,,1,500,2,,,,
683785,1,59000,2,,2,,1,,,,
712022,2,5000,2,,2,,1,,,,
714238,2,1000,2,,2,,1,2,,,
855035,2,30000,2,,2,,1,2,,,
856177,3,100000,2,,1,5000,2,,,,
860127,10,1000000,1,10000,2,,1,2,,,
863308,1,35000,2,,1,5000,1,,,,
871697,6,1000000,2,,2,,1,2,3,4,
875426,3,5000,2,,2,,1,2,,,
875855,1,60000,2,,1,5000,1,2,,,
878506,4,80000,2,,2,,1,2,,,
878617,4,1000000,1,15000,2,,1,,,,
879229,6,30000,2,,1,700,1,2,,,
886427,3,100000,2,,1,6000,1,2,,,
886887,1,12000,2,,1,1080,1,2,,,
896749,3,40000,2,,1,2000,1,,,,
898191,2,50000,2,,1,4800,2,,,,
898220,1,120000,1,7000,2,,2,,,,
904510,5,5000,2,,1,200,2,,,,
909050,14,300000,1,200,1,15000,1,2,3,,
910659,2,80000,2,,2,,1,,,,
910703,2,10000,2,,1,100,1,,,,
911115,4,360000,2,,1,1500,1,2,3,,
911117,1,1000,2,,2,,1,,,,
911119,1,5000,2,,1,500,2,,,,
911351,1,100000,1,2000,2,,1,,,,
911394,3,20000,2,,1,,2,,,,
911423,5,30000,2,,1,2000,1,,,,
911871,21,6000000,1,90000,1,20000,2,,,,
911938,3,20000,2,,1,1200,1,2,,,
911997,5,200000,1,6000,2,,1,2,,,
912482,2,30000,2,,2,,1,,,,
912591,4,,1,11400,2,,2,,,,
913926,4,250000,1,2000,2,,1,,,,
914047,1,50000,2,,1,2000,1,2,,,
914186,1,300000,1,3000,1,2000,1,2,,,
914286,21,200000,2,,2,,1,,,,
914406,1,50000,2,,1,1000,1,,,,
914914,1,300000,1,4000,2,,1,2,,,
916658,1,20000,2,,2,,1,,,,
917073,2,50000,1,1000,2,,1,2,,,
917247,2,50000,2,,1,4500,1,2,,,
917519,3,310000,1,10000,2,,1,,,,
917529,1,20000,2,,2,,1,2,,,
918249,2,150000,1,4800,1,4800,2,,,,
918296,5,400000,1,18000,2,,1,,,,
918763,7,300000,2,,2,,1,,,,
919686,2,130000,2,,1,4000,1,,,,
919707,1,15000,2,,1,200,1,,,,
920669,2,20000,2,,1,2400,1,,,,
923399,1,70000,2,,2,,1,,,,
923535,9,1200000,2,,2,,2,,,,
924005,3,13000,2,,2,,1,,,,
924656,1,20000,2,,1,150,1,,,,
926099,1,100000,1,4800,1,500,1,,,,
928085,11,1400000,1,23000,1,3600,1,2,,,
930174,2,300000,2,,1,3000,1,,,,
930176,22,1000000,1,50000,2,,1,2,,,
930498,1,500,1,50,2,,1,,,,
930784,2,100000,2,,1,2500,2,,,,
930795,1,30000,2,,2,,1,,,,
930901,1,125000,1,6000,2,,1,2,,,
930945,6,700000,1,32000,2,,1,,,,
930961,1,150000,2,,1,10000,1,,,,
931003,3,50000,2,,2,,1,,,,
931049,54,600000,1,9600,2,,1,2,,,
931323,3,40000,1,800,1,2000,1,2,,,
931331,9,5000,2,,1,50,1,,,,
931487,3,40000,2,,2,,1,2,,,
931553,3,230000,1,8000,2,,1,,,,
931562,1,120000,2,,1,3000,2,,,,
931719,8,600000,2,,1,48000,1,2,,,
931766,2,250000,1,14000,2,,1,2,,,
931786,4,175000,2,,1,10000,1,2,,,
931945,1,200000,1,20000,2,,2,,,,
931969,3,1500000,2,,1,15000,1,2,,,
931993,2,500,2,,1,50,1,,,,
932117,3,100000,2,,1,10000,2,,,,
932152,8,100000,2,,1,6000,1,2,,,
932162,5,3000000,1,100000,2,,1,,,,
932289,2,26000,2,,1,3500,1,,,,
932327,18,10000000,1,150000,2,,1,,,,
932367,7,400000,1,3000,1,5000,1,,,,
932476,3,350000,2,,1,10000,1,2,,,
932532,2,80000,2,,1,6000,1,,,,
932542,2,500000,2,,1,7200,1,,,,
932572,3,80000,2,,1,5000,1,,,,
932579,4,400000,2,,1,12000,1,,,,
932596,1,70000,1,10800,2,,1,,,,
932641,3,430000,1,13000,2,,2,,,,
932661,2,500000,1,20000,2,,1,2,,,
932724,7,2500000,1,36000,1,42000,1,2,,,
932875,9,1000000,1,12000,1,25000,1,2,,,
933012,4,320000,1,15000,2,,1,2,,,
933043,51,10000000,1,58000,2,,1,,,,
933045,4,100000,2,,1,5000,1,,,,
933147,2,500000,2,,1,4000,1,2,,,
933305,28,2500000,1,8000,1,4000,1,2,,,
933503,1,80000,2,,1,6000,1,,,,
933686,3,20000,2,,1,1000,1,,,,
933851,37,800000,1,100000,2,,1,2,,,
933925,8,700000,1,6000,2,,1,,,,
933934,1,100000,2,,1,15000,1,,,,
934063,2,200000,1,10000,1,5000,2,,,,
934115,4,350000,2,,1,,1,2,,,
934264,2,300000,1,3000,1,2000,1,2,,,
934265,2,200000,1,8000,1,5000,2,,,,
934268,1,1000000,1,19000,2,,1,2,,,
934276,1,165000,1,4000,2,,1,,,,
934278,3,350000,1,4000,2,,1,2,,,
934280,2,300000,1,5000,2,,1,2,,,
934293,2,2000000,1,50000,2,,1,,,,
934296,1,10000,2,,2,,2,,,,
934334,2,100000,1,3500,2,,1,,,,
934446,2,130000,1,5000,1,5000,1,2,,,
934469,11,2000000,1,50000,2,,1,2,3,,
934480,10,2500000,1,60000,2,,1,,,,
934481,1,100000,2,,1,500,2,,,,
934563,14,2000000,1,7500,2,,1,,,,
934671,1,120000,2,,1,600,2,,,,
934731,4,400000,1,30000,2,,1,,,,
934764,1,70000,1,4000,1,5000,1,,,,
934786,10,850000,1,35000,2,,1,,,,
934951,2,500000,2,,1,10000,2,3,,,
934983,2,400000,1,14000,2,,2,3,,,
935001,14,100000,2,,2,,1,2,,,
935008,1,100000,2,,2,,1,,,,
935156,8,1000,2,,1,150,1,2,,,
935161,2,300000,2,,1,1500,2,,,,
935165,1,250000,2,,1,800,2,,,,
935187,5,700000,1,12000,1,7000,1,2,,,
935201,29,3000000,2,,1,50000,1,,,,
935233,13,800000,1,75000,2,,1,2,,,
935307,3,500000,2,,1,12000,1,,,,
935579,2,150000,2,,1,5000,1,2,,,
935638,1,300000,2,,1,3000,1,2,,,
935643,1,40000,2,,2,,1,,,,
935685,1,200000,1,30000,2,,1,2,,,
935686,4,180000,2,,2,,2,,,,
935762,2,35000,2,,2,,1,,,,
935831,23,1500000,1,100000,1,12000,1,2,,,
935960,6,150000,2,,1,2000,1,,,,
935999,2,300000,1,6000,2,,2,,,,
936459,2,200000,1,1500,2,,1,,,,
936656,4,120000,2,,1,5000,1,2,,,
936664,19,15000000,1,6000,1,10000,1,2,,,
936682,2,220000,2,,1,2000,1,2,,,
936689,4,250000,1,7200,1,7000,1,2,,,
936739,1,700000,2,,2,,1,,,,
936801,1,200000,1,1000,2,,1,,,,
936803,3,1500000,2,,1,10000,1,,,,
936814,4,210000,2,,2,,1,,,,
936850,4,1000000,1,7000,1,10000,1,2,3,4,
936875,6,100000,1,1000,2,,1,,,,
937030,1,120000,2,,1,5000,1,2,,,
937056,1,250000,1,2500,2,,1,,,,
937120,1,80000,2,,1,3500,1,,,,
937162,7,3000000,1,90000,1,50000,1,2,,,
937193,5,200000,1,6000,2,,1,,,,
937249,8,1000000,1,20000,2,,1,,,,
937328,1,150000,2,,1,4000,1,2,,,
937559,1,1000000,1,60000,1,10000,1,2,,,
937648,1,140000,2,,1,3200,1,,,,
938110,1,180000,1,7200,2,,2,,,,
938373,3,250000,2,,1,1200,1,,,,
938443,1,24000,2,,1,1300,1,2,,,
938657,3,600000,1,28000,2,,1,,,,
938920,1,2000,2,,1,100,1,2,,,
939119,3,100000,2,,1,500,1,,,,
939153,3,300000,1,5000,2,,1,,,,
939168,4,500000,1,10000,1,8000,1,2,,,
939235,1,200000,2,,2,,1,2,,,
939260,3,200000,2,,1,10000,2,,,,
939308,2,300000,2,,2,,1,,,,
939315,4,140000,2,,1,4500,1,,,,
939376,1,25000,2,,2,,1,,,,
939384,1,400000,2,,2,,1,,,,
939691,1,20000,2,,1,600,2,,,,
939812,2,50000,2,,1,300,1,2,,,
939963,3,200000,2,,1,1000,1,,,,
940011,2,3000000,1,50000,2,,1,2,,,
940031,2,250000,1,9100,1,15500,2,,,,
940050,4,3000000,1,7000,1,10000,1,,,,
940559,1,5000,2,,2,,2,,,,
940586,9,400000,1,5000,2,,1,2,,,
940848,2,100000,2,,1,12000,1,2,,,
940957,1,250000,2,,1,10000,1,2,,,
940966,1,700000,2,,1,15000,2,,,,
941084,4,450000,2,,2,,1,,,,
941134,7,600000,1,15000,2,,1,,,,
941244,2,200000,2,,1,15000,2,,,,
941363,7,5000000,2,,1,100000,1,2,,,
941433,12,5000000,1,150000,2,,1,,,,
941482,13,2000000,1,25000,1,15000,1,,,,
941736,9,2200000,1,70000,2,,2,,,,
941848,5,1500000,1,100000,2,,1,2,,,
942139,1,50000,2,,1,5000,2,,,,
942387,1,150000,2,,2,,2,,,,
943283,1,200000,2,,1,25000,2,3,4,,
943974,4,80000,2,,2,,1,,,,
944099,1,200000,2,,2,,1,,,,
944102,31,1400000,1,4500,1,200000,1,2,,,
944105,5,310000,2,,1,20000,1,2,,,
944131,3,150000,2,,1,7000,1,2,,,
944383,7,400000,1,6000,1,16000,1,,,,
945007,3,100000,2,,1,2500,1,,,,
945503,1,50000,2,,1,300,1,,,,
945532,7,5000000,2,,1,70000,1,2,,,
946015,7,200000,1,6500,2,,1,,,,
946048,5,500000,1,24000,2,,1,,,,
946077,3,200000,1,2000,1,4000,1,,,,
946080,2,120000,2,,1,2000,1,2,3,,
946224,9,1000000,1,50000,1,800,1,,,,
946252,4,250000,1,20000,2,,1,2,,,
946581,4,200000,2,,1,,2,,,,
946621,29,800000,1,1200,1,2400,1,,,,
946649,2,100000,2,,1,15000,1,2,,,
946707,1,30000,2,,2,,2,,,,
947852,10,7000000,2,,1,100000,1,2,,,
947951,2,50000,2,,1,1200,1,,,,
947997,4,100000,2,,1,1500,2,,,,
948010,4,75000,2,,1,2000,1,2,,,
948029,2,60000,2,,1,2400,1,,,,
948031,9,880000,1,18000,1,24000,1,2,,,
948104,3,1000,2,,2,,1,,,,
948225,4,30000,2,,2,,1,,,,
948341,1,30000,2,,1,100,1,2,,,
948349,1,200000,2,,1,15000,1,2,,,
948454,9,15000,2,,1,500,1,,,,
948501,1,200000,2,,2,,1,,,,
948548,2,250000,1,4950,1,12000,1,,,,
948913,7,100000,2,,2,,1,,,,
948956,1,300000,2,,1,10000,1,2,,,
949045,3,500000,2,,1,30000,1,,,,
949070,6,50000,1,600,1,5000,1,2,,,
949166,3,310000,2,,2,,1,,,,
949223,2,300000,2,,1,15000,1,,,,
949264,8,800000,1,17000,1,5000,1,,,,
949311,8,800000,2,,2,,1,2,,,
949414,2,500000,1,36000,2,,1,,,,
949495,12,3000000,1,25000,1,30000,1,2,,,
949521,3,10000,2,,1,100,1,,,,
