NQUEST,NORDEB2,QUALEIMM,DEBM2,DETRAZIONI2,DEBRF2,ANMUTUO2,MUTUODU2,MUTUOFIN2,MUTUOIN2,DEBGAR2,DEBPERS2,LTV2,TIPOTAX2,RATACON2,TAXFIS2,TAXVAR2,SOSPENS2,SOSPEORA2,RIPPAG2,TMUTUOAB2,TDEBITA2
20297,1,7,1,,1,2019,10,8,70000,4,1,,1,,5,,2,,,11232,59000
32887,1,6,2,2,2,2019,15,12,120000,1,,70,1,,2.4,,2,,,15000,108000
33335,1,3,2,2,2,2013,10,3,54000,4,1,,2,2,,5,2,,,3200,8000
36409,1,1,2,1,2,2020,5,4,25000,4,1,,1,,2,,2,,,0,25000
504453,1,2,1,,2,2020,25,24,160000,1,,70,1,,0.9,,2,,,12000,158000
611412,1,2,1,,2,2010,15,4,100000,1,,30,1,,2,,2,,,9600,35000
611774,1,1,1,,2,2005,15,0,70000,1,,55,2,1,,1.5,2,,,6792,566
676000,1,1,2,2,2,2013,10,3,30000,2,,20,1,,2,,2,,,6000,18000
684328,1,1,1,,2,2019,20,19,90000,1,,100,1,,1,,2,,,7200,83000
727039,1,1,1,,2,2010,15,5,30000,1,,100,2,2,,1.7,2,,,1900,10000
735659,1,1,1,,1,2016,10,5,50000,1,,50,1,,1.5,,2,,,5500,24000
860127,1,3,1,,2,2007,25,11,150000,1,,60,2,2,,0,2,,,7500,55000
860127,2,6,1,,2,2019,12,10,60000,1,,25,2,2,,0.45,2,,,5160,52000
868231,1,1,2,2,2,2018,5,2,25000,1,,10,1,,6,,2,,,4700,8000
868231,2,1,2,2,2,2020,5,4,15000,4,1,,1,,6,,2,,,1000,14200
871517,1,1,1,,2,2018,10,7,90000,1,,100,1,,3,,2,,,12000,70000
875855,1,3,1,,2,2010,12,1,30000,1,,10,1,,2,,2,,,3000,3000
878103,1,1,1,,1,2004,20,5,70000,1,,100,1,,3,,1,2,1,0,30000
879257,1,1,1,,2,2007,30,17,135000,1,,80,2,1,,2,2,,,5500,84500
882723,1,7,1,,2,2016,25,20,80000,1,,50,1,,3.5,,2,,,6000,63500
889722,1,1,1,,2,2019,20,19,60000,1,,100,1,,1,,2,,,2500,57500
894327,1,1,2,3,2,2011,20,11,90000,1,,70,1,,3,,2,,,7500,51400
894327,2,2,1,,2,2008,20,9,155000,1,,60,1,,2,,2,,,8000,70000
896749,1,1,2,2,2,2010,20,9,100000,1,,70,2,2,,1.4,2,,,5520,54000
896875,1,1,2,1,2,2020,5,4,20000,4,1,,2,2,,4,2,,,3600,17000
898191,1,2,2,2,2,2009,15,4,60000,1,,80,1,,1.5,,2,,,5000,15500
898442,1,1,1,,2,2005,20,5,150000,4,1,,2,1,,4,2,,,9000,51500
904242,1,1,1,,2,2009,30,20,130000,1,,60,1,,1.8,,2,,,5000,87000
908691,1,1,2,3,2,2015,15,9,200000,1,,80,2,1,,2,2,,,16600,98200
909250,1,2,2,1,2,2020,5,4,100000,1,,50,1,,3,,2,,,20000,80000
910274,1,3,2,3,2,2015,10,5,50000,4,1,10,1,,3,,2,,,6000,25000
917227,1,1,1,,1,2008,25,13,150000,1,,50,1,,3,,1,2,1,3840,50000
918616,1,1,1,,2,2020,30,30,384000,1,,80,1,,0.9,,2,,,2450,382000
