NQUEST,NORDEB3,DEBM3,DEBGAR3,DEBPERS3,DEBRF3,ANMUTUO3,MUTUODU3,MUTUOIN3,SOSPENS3,SOSPEORA3,RIPPAG3,TMUTUOAB3,TDEBITA3,TIPOTAX3,TAEG3
3717,1,4,4,1,1,2020,1,600,2,,,700,80,1,5
23797,1,4,1,,2,2012,15,90000,2,,,6000,36000,1,3
32729,1,1,2,,1,2010,10,100000,2,,,9600,15000,2,3.5
32734,1,1,4,1,2,2016,7,14000,2,,,2760,8280,1,6
36409,1,1,4,1,3,2016,5,18000,2,,,4200,3500,1,0.2
38885,1,2,4,1,2,2019,1,7000,2,,,3600,1500,3,
53373,1,1,4,1,2,2017,5,8000,2,,,2500,7500,1,0.6
55636,1,4,4,1,2,2019,3,10000,2,,,3600,7500,1,1
57621,1,4,4,1,2,2020,7,12000,2,,,1600,10500,1,2
389084,1,1,4,2,1,2018,10,28800,2,,,2880,20160,1,3
500726,1,1,4,1,2,2020,5,12000,2,,,1200,10800,1,4.5
503560,1,1,4,1,2,2017,4,6000,2,,,1860,2000,2,5
503560,2,1,4,1,2,2018,4,6000,2,,,1600,3000,3,
505390,1,1,4,1,2,2020,4,25000,2,,,2400,22200,1,0.8
506738,1,1,4,1,2,2020,5,8800,2,,,2000,7000,1,1
507444,1,4,4,1,1,2019,7,25000,2,,,3600,20800,1,9.45
510433,1,2,4,1,2,2019,1,2000,2,,,2000,2000,1,9
511757,1,4,4,2,2,2019,10,10000,2,,,1000,9000,1,5
512517,1,1,4,1,2,2018,3,7500,2,,,2760,2500,1,10
512517,2,1,4,1,2,2018,2,5000,2,,,2000,0,1,10
512517,3,2,4,1,2,2020,1,500,2,,,300,200,3,
513406,1,1,4,1,2,2017,6,10000,2,,,3000,8000,1,3
615399,1,1,4,1,2,2016,5,5000,2,,,2556,1491,1,3
620858,1,4,4,1,2,2019,3,6000,2,,,2400,2400,2,4
623606,1,2,4,1,2,2019,2,2500,2,,,1250,1250,3,
635112,1,2,1,,2,2020,2,110,2,,,50,60,3,
635112,2,2,1,,2,2020,2,560,2,,,310,250,3,
670762,1,2,4,1,2,2020,3,2800,2,,,650,2000,1,12
671362,1,1,4,1,2,2018,3,7000,2,,,2700,4000,1,2
671480,1,2,4,1,2,2020,5,1700,2,,,350,1350,1,12
671520,1,2,4,1,2,2020,3,6000,2,,,2200,4000,2,1
671893,1,2,4,1,2,2019,2,2000,2,,,1200,1200,1,4
674019,1,1,4,2,1,2015,10,80000,2,,,8500,40000,1,8
674019,2,5,4,1,2,2020,1,2600,2,,,1300,1300,3,
676851,1,4,4,1,2,2016,10,20000,2,,,4800,9000,1,4
680244,1,1,4,1,2,2019,4,12000,2,,,3600,7000,1,2.5
680870,1,1,1,,2,2017,7,288,2,,,258,288,2,1
681097,1,1,1,,2,2017,6,8000,2,,,1800,3500,1,1.5
681713,1,1,4,1,2,2019,4,10000,2,,,2600,7800,2,3
682298,1,2,4,1,2,2018,3,9000,2,,,3200,3000,1,2
682359,1,2,4,1,2,2020,1,600,2,,,300,300,3,
682408,1,1,5,,2,2020,6,9000,2,,,1680,8400,1,6
682969,1,4,4,1,2,2016,5,15000,2,,,3600,1400,1,1
683119,1,2,1,,2,2020,2,2600,2,,,1500,1000,3,
685058,1,1,5,,2,2020,4,11000,2,,,1884,9116,1,2
685297,1,1,1,,2,2018,5,16800,2,,,3360,10080,1,4
685297,2,1,1,,2,2018,3,10000,2,,,3840,6400,1,4
686528,1,4,4,1,2,2016,7,16000,1,2,1,2430,8170,1,8.45
687699,1,1,1,,1,2017,4,10000,2,,,1800,900,1,7
687699,2,4,4,2,2,2020,4,11000,2,,,1200,9800,1,2
704911,1,1,4,1,2,2018,3,5000,2,,,1680,700,3,
709420,1,1,4,1,2,2017,5,12000,2,,,3240,6480,2,5
721548,1,1,4,2,1,2020,5,10000,2,,,2400,6200,1,2
721548,2,2,4,1,2,2020,3,2900,2,,,840,1710,3,
721871,1,1,4,1,2,2018,3,9000,2,,,3500,3000,1,5.1
721871,2,2,4,1,2,2020,1,1500,2,,,1500,0,1,2.5
722518,1,1,4,1,2,2019,3,12000,2,,,2880,7000,3,
725701,1,1,1,,2,2018,10,11000,2,,,1920,7000,1,2
732013,1,1,1,,2,2017,6,30000,2,,,6000,18000,1,6
733713,1,2,4,1,2,2020,1,600,2,,,120,480,3,
735143,1,1,1,,2,2017,4,11000,2,,,3400,1000,1,6
735621,1,1,1,,2,2018,4,10000,2,,,3600,5000,1,5
735659,1,1,1,,2,2019,5,17000,2,,,2500,14000,1,7
736917,1,1,5,,2,2019,7,18000,2,,,4320,11000,1,2
736935,1,2,4,1,2,2017,7,50000,2,,,7200,18000,1,2
801279,1,1,1,,2,2016,5,10000,2,,,3360,3080,1,8
802349,1,2,4,1,2,2020,1,1000,2,,,500,500,3,
805330,1,2,4,1,2,2020,2,800,2,,,400,800,3,
806560,1,1,4,1,2,2019,3,7000,2,,,1300,5600,1,4.2
806563,1,1,1,,2,2020,10,19000,2,,,1200,18000,2,2
807054,1,4,5,,2,2019,2,2000,2,,,1800,0,1,6
807146,1,1,1,,2,2019,4,11000,2,,,2760,5000,1,2.6
807146,2,1,1,,2,2020,3,8400,2,,,500,5900,1,8.2
