NQUEST,nord,nattivita,NORDEB4,DEBM4,DEBRF4,ANMUTUO4,MUTUODU4,MUTUOFIN4,MUTUOIN4,TMUTUOAB4,TDEBITA4,TAXDEB4,DEBGAR4
39318,1,1,1,1,2,2015,20,15,150000,5500,50000,1.2,4
500669,1,1,1,1,2,2013,10,2,24000,5400,5000,1,4
624781,1,1,1,1,1,2016,5,1,10000,2400,1500,7,4
624781,1,1,2,2,2,2020,,,7000,800,7000,5,4
674869,1,1,1,1,2,2019,5,3,120000,36000,90000,3.5,3
675801,1,1,1,1,2,2016,9,5,50000,10000,30000,4,1
681394,1,1,1,1,1,2020,25,24,7000,50,6950,0,4
681394,1,1,2,1,1,2018,7,5,13000,1000,11000,6,4
682812,1,1,1,1,2,2017,5,1,16000,4200,4700,2,4
683373,2,1,1,1,2,2017,10,6,30000,3000,22000,3,1
683377,1,1,1,1,2,2002,25,6,140000,7440,40000,3,2
683377,1,1,2,2,2,2018,,,10000,672,4000,7,3
683377,1,1,3,2,2,2019,,,4500,270,3150,7,3
683472,1,1,1,2,2,2020,,,15000,16000,0,0.2,1
684937,1,1,1,1,2,2011,10,0,4000,0,4000,17,4
730402,1,1,1,1,2,2016,5,0,10000,3000,500,2,4
730402,1,1,2,2,2,2019,,,3000,2000,1000,2,4
856297,1,1,1,1,2,2018,5,2,180000,38000,50000,2.5,4
856297,1,1,2,2,2,2019,,,20000,11500,0,2.5,4
863402,1,1,1,1,2,2019,4,1,12000,2500,5000,3,4
863402,1,1,2,2,2,2020,,,5000,2000,3000,2,4
873166,1,1,1,1,2,2019,2,1,15000,2040,8800,2,4
874756,2,1,1,1,1,2018,10,7,71000,8100,46000,11.5,2
874756,2,1,2,1,1,2018,5,4,70000,3600,36000,3,2
874756,2,1,3,1,2,2020,10,9,30000,90,30000,1,4
874756,2,1,4,1,2,2020,10,10,35000,50,35000,1,4
874756,2,1,5,2,2,2020,,,1000,0,1000,0,4
876079,1,1,1,2,2,2020,,,25000,6000,15000,5,4
878873,1,1,1,1,2,2008,15,3,95000,3759,21855,1.4,2
878873,1,1,2,1,2,2020,7,6,10000,68,10000,1.2,4
886427,2,1,1,1,1,2013,10,1,200000,20000,42000,2.5,2
886427,2,1,2,2,3,2018,,,10000,2500,0,2,4
899556,2,1,1,1,2,2018,5,2,20000,5000,15000,2,4
901965,1,1,1,1,1,2017,10,6,100000,12000,80000,3,4
902915,1,1,1,1,2,2020,5,4,25000,300,24700,1.5,4
905085,2,1,1,2,2,2020,,,10000,3500,10000,3,4
905085,2,1,2,2,2,2020,,,5000,1800,3800,2,4
910274,1,1,1,1,2,2015,15,9,1000000,100000,790000,3,1
910274,1,1,2,1,2,2018,20,17,400000,24000,373000,2,1
917375,2,1,1,1,2,2018,7,6,30000,1200,23000,2,1
919374,1,1,1,1,1,2015,7,6,54000,9000,27000,5,1
919374,1,1,2,1,1,2018,5,2,15000,900,8000,6,3
919547,2,1,1,1,2,2020,10,9,50000,6000,44000,3.5,4
919707,1,1,1,1,2,2004,20,4,200000,8500,50000,3.5,1
919707,1,1,2,1,2,2010,20,11,150000,10000,90000,3.75,2
919727,3,1,1,1,2,2020,6,5,3950,0,3950,1,4
921334,4,1,1,1,2,2015,7,1,20000,4800,3200,12,4
923350,1,1,1,1,2,2018,5,2,30000,6000,18000,2,4
924207,1,1,1,2,2,2019,,,25000,7000,18000,7,4
924290,2,1,1,2,2,2020,,,2000,1200,900,5,4
924323,1,1,1,2,2,2019,,,1000,1105,103,5,1
924513,1,1,1,2,1,2020,,,3000,3800,0,7,4
924687,2,1,1,1,2,2020,10,10,20000,3000,17000,2,3
924710,1,1,1,1,2,2020,3,2,10000,4800,6500,7,4
925204,1,1,1,1,2,2018,20,17,150000,13000,150000,4,2
927805,1,1,1,1,2,2008,23,10,300000,7200,70000,2,1
930023,1,1,1,1,2,2018,4,2,20000,10000,10000,2,3
930124,1,1,1,1,2,2020,3,2,20000,250,20000,1.3,4
930722,1,1,1,1,2,2020,20,19,110000,7060,103000,4.2,1
932228,2,1,1,2,2,2018,,,50000,2000,0,12,4
932238,1,1,1,1,2,2019,5,4,1000000,200000,800000,1,4
932238,1,1,2,2,2,2018,,,10000,8000,5000,1,4
932641,1,1,1,1,2,2016,12,8,3000000,200000,1700000,2,1
933100,1,1,1,1,1,2020,5,4,2500000,40000,2500000,1,4
933100,1,1,2,1,2,2020,50,49,1500000,20000,900000,1,4
934259,1,1,1,1,2,2008,20,7,1300000,84000,660000,1.5,2
934268,1,1,1,1,2,2019,10,8,2500000,320000,2380000,2,4
934312,1,1,1,1,2,2008,15,3,95000,4000,25000,6,2
934312,1,1,2,1,2,2016,5,1,20000,4800,4000,0,4
934400,1,1,1,1,2,2009,18,6,120000,10400,60000,4,1
934411,3,1,1,1,2,2016,15,7,200000,18000,148000,3,1
934411,3,1,2,1,2,2016,15,8,250000,16000,190000,2,1
934461,2,1,1,1,2,2009,15,3,100000,8000,30000,1.5,3
934524,2,1,2,1,2,2008,20,7,120000,7920,55000,4,1
934918,1,1,1,1,2,2020,6,5,25000,300,25000,1.1,4
934918,2,1,1,1,2,2020,6,5,30000,100,30000,1.1,4
934918,1,1,2,1,2,2020,6,5,25000,300,25000,1.1,4
934918,1,1,3,2,2,2020,,,52800,1100,46200,3,4
935097,1,1,1,1,2,2019,15,13,150000,1200,140000,2,2
935187,1,1,1,1,2,2009,15,2,1680000,122000,283000,0.4,2
935927,1,1,1,1,2,2006,15,0,130000,10900,5000,2,4
935927,1,1,2,1,2,2009,15,4,80000,4650,28000,4,4
936039,1,1,1,1,2,2015,25,21,400000,16800,340000,2,4
936039,1,1,2,1,2,2018,10,7,120000,12500,85000,2,4
936638,1,1,1,1,2,2020,8,8,60000,0,60000,1.9,4
936666,1,1,1,2,2,2004,,,10000,200,0,2,4
936666,1,1,2,2,1,2016,,,30000,400,0,1.5,4
936711,1,1,1,1,2,2010,15,3,300000,15000,180000,3,3
936711,1,1,2,1,2,2015,8,2,80000,5000,30000,4,4
936783,1,1,1,1,2,2020,4,3,25000,240,24900,1.2,4
938097,1,1,1,1,2,2011,10,1,40000,2000,6000,1,4
938109,1,1,1,1,2,2009,15,4,1050000,80000,400000,2,2
938109,1,1,2,1,2,2008,15,5,100000,12000,20000,2,4
938117,1,1,1,1,2,2016,5,1,105000,3800,28000,2,4
938117,1,1,2,1,1,2020,10,9,30000,0,30000,1,4
939260,1,1,1,1,2,2019,6,5,70000,14000,60000,1.3,4
939263,1,2,1,1,2,2020,4,4,90000,0,90000,0.7,4
939347,1,1,1,1,2,2018,6,3,30000,7000,20000,3,4
940489,1,1,1,1,2,2015,8,2,70000,12000,29000,3,2
940519,1,1,1,2,2,2019,,,17000,4500,10000,5,4
940519,1,1,2,2,2,2020,,,12000,5000,7000,8,4
943121,1,1,1,1,2,2019,10,8,140000,16000,124000,2,2
943975,1,1,1,1,2,2016,8,3,130000,20000,50000,1.4,3
945078,1,1,1,2,2,2019,,,8000,3000,2000,7,4
945078,1,1,2,2,2,2020,,,100000,0,100000,0.9,3
945771,1,1,1,2,2,2020,,,20000,0,20000,4.5,4
945786,2,1,1,1,1,2020,10,9,70000,7200,63000,1.3,4
945786,2,1,2,2,2,2019,,,25000,15000,5000,3.5,4
945786,2,1,3,2,2,2020,,,10000,10000,0,3.3,4
946330,1,1,1,1,2,2018,3,1,30000,0,10000,7,4
946330,1,1,2,2,2,2020,,,30000,8000,22000,8,3
946857,1,1,1,1,1,2011,23,12,300000,18000,178000,5,3
946857,1,1,2,1,1,2012,10,2,30000,6000,15000,4,2
946857,1,1,3,1,2,2019,15,13,40000,5000,31000,3,4
946857,1,1,4,1,1,2020,10,9,25000,4800,20000,2,4
946857,1,1,5,1,1,2020,7,6,12000,2000,10000,3,4
947799,1,1,1,1,1,2020,2,2,25000,25,25000,1,4
948236,1,1,1,1,1,2018,7,4,17000,4200,12000,12,4
948236,3,1,1,1,2,2020,4,3,8000,900,7200,2,4
948236,1,1,2,1,1,2019,5,5,10000,4200,10000,12,4
948236,1,1,3,1,1,2020,5,5,6000,4200,6000,12,4
948261,2,1,1,2,2,2020,,,2500,0,2500,8,1
948913,2,1,1,2,2,2018,,,10000,4000,0,3,4
949332,1,1,1,1,2,2013,7,0,7000,480,0,10,4
949426,1,1,1,1,2,2005,20,5,160000,10800,40000,2,2
949711,1,1,1,1,2,2019,10,7,55000,5500,44000,1,4
949719,1,1,1,1,2,2018,5,3,120000,13000,90000,2,4
949719,1,1,2,1,2,2020,5,4,25000,0,25000,1.8,4
949765,1,1,1,2,2,2017,,,25000,5000,5000,3,4
950162,2,1,1,1,2,2018,2,0,5000,2400,2500,7,1
951236,1,1,1,1,2,2016,20,15,56000,3700,42000,2,4
951236,1,1,2,1,2,2017,10,6,40000,4100,23600,2,4
951236,1,1,3,1,2,2019,10,8,60000,6200,47500,2,4
951246,1,1,1,1,1,2010,15,4,200000,28980,50000,2,2
951246,1,1,2,1,1,2013,15,8,250000,26910,97000,1,2
951246,1,1,3,1,1,2017,15,12,220000,24300,80000,1,1
951400,1,1,1,2,2,2017,,,30000,1100,9000,2.8,4
951458,2,1,1,1,1,2018,10,8,3000000,360000,2500000,1.6,2
951466,2,1,1,1,2,2010,18,7,300000,20000,160000,3,1
951488,1,1,1,1,2,2010,20,10,300000,20000,250000,5,4
951489,1,1,1,1,2,2015,7,1,350000,75000,150000,4.5,4
951534,1,1,1,1,2,2016,10,5,100000,10000,60000,6,3
951665,1,1,1,1,2,2005,20,6,1200000,10000,485000,0,4
951766,1,1,1,1,2,2012,30,20,900000,14900,564200,4.27,2
951766,1,1,2,1,2,2013,20,11,300000,6500,109200,5.27,2
951766,1,1,3,1,2,2020,5,5,250000,0,250000,2.05,2
951766,1,1,4,1,2,2020,3,3,25000,0,25000,2,2
951799,2,1,1,1,2,2015,20,15,60000,8000,47000,2,2
951842,1,1,1,1,2,2020,5,4,20000,500,19500,2.5,4
951881,1,1,1,2,1,2018,,,50000,10000,20000,4,4
951944,1,1,1,1,2,2006,21,6,550000,33000,150000,4,2
951986,2,1,1,1,2,2020,10,9,30000,236,30000,1.67,4
951986,4,1,1,1,2,2020,6,5,14900,14600,14900,1.65,4
951986,2,1,2,1,2,2016,7,1,25000,2490,3735,5,4
952074,1,1,1,1,2,2017,4,1,70000,9000,13000,3.8,4
952074,1,1,2,2,2,2020,,,50000,30000,20000,3,4
952074,1,1,3,2,1,2020,,,50000,30000,20000,3,4
952104,1,1,1,1,2,2020,5,4,25000,0,25000,0.5,4
952222,1,1,1,1,2,2017,4,0,30000,8400,1800,5,4
952222,1,1,2,1,1,2020,5,5,25000,200,25000,1,4
952850,1,1,1,1,2,2000,22,1,500000,40000,80000,10,2
952850,1,1,2,1,2,2020,4,1,100000,25000,80000,10,4
952933,1,1,1,1,2,2017,17,13,300000,18000,200000,2,2
952987,1,1,1,1,2,2015,15,9,150000,15000,95000,4,1
953021,1,1,1,1,2,2009,15,3,120000,16000,30000,1.5,2
953021,2,1,1,1,2,2018,12,9,120000,15000,90000,1.5,2
953088,1,1,1,1,2,2011,15,4,1500000,100000,900000,2,2
953179,1,2,1,1,3,2020,10,9,200000,25000,180000,2,2
953200,1,1,1,1,2,2017,10,7,20000,700,9000,2,4
953220,1,1,1,1,2,2013,15,7,200000,24000,106000,4,2
953220,1,1,2,1,2,2015,15,8,400000,36000,210000,4,2
953222,1,1,1,1,2,2017,6,2,60000,0,20000,6,2
953222,1,1,2,2,2,2020,,,12000,12000,12000,5,2
953224,1,1,1,1,2,2015,15,9,100000,6800,70000,2,1
953225,1,1,1,1,2,2020,20,19,2000000,164000,2000000,1,1
953232,1,1,1,1,2,2017,10,6,130000,19000,85000,2,1
953232,1,1,2,1,2,2017,7,3,100000,12000,80000,4,1
953232,1,1,3,1,2,2019,6,4,170000,30000,105000,2,1
953325,1,1,1,1,1,2008,30,20,800000,0,600000,0.8,1
