NQUEST,NORDEB1,DEBM1,DETRAZIONI1,DEBRF1,ANMUTUO1,MUTUODU1,MUTUOFIN1,MUTUOIN1,DEBGAR1,DEBPERS1,LTV1,TIPOTAX1,RATACON1,TAXFIS1,TAXVAR1,SOSPENS1,SOSPEORA1,RIPPAG1,RIPPAGQUA1,TMUTUOAB1,TDEBITA1,RIFINANZ1
31695,1,2,1,2,2016,10,5,50000,1,,25,1,,2,,2,,,,5400,30000,2
37521,1,1,,2,2001,25,4,125000,1,,50,1,,4,,2,,,,1560,5000,2
38939,1,2,1,2,2016,5,1,10000,3,2,,1,,1,,2,,,,2400,2400,2
39318,1,2,2,2,2012,20,12,150000,3,1,,2,1,,1.2,2,,,,5760,75000,1
51544,1,2,1,2,2007,15,2,80000,1,,20,1,,2,,2,,,,6000,10000,2
57670,1,2,1,2,2007,30,16,52000,3,1,,1,,6,,2,,,,3700,35000,2
91081,1,1,,2,2000,25,4,100000,1,,50,2,2,,4,2,,,,9600,10000,1
230037,1,1,,2,2013,10,2,68400,1,,100,1,,3,,2,,,,6840,17500,2
500176,1,1,,2,2019,20,8,40000,1,,45,1,,2,,2,,,,1560,9000,2
501068,1,1,,2,2012,15,6,75000,1,,100,1,,7,,2,,,,4000,28000,2
503560,1,1,,2,2015,20,15,88000,1,,80,2,1,,2,2,,,,5000,75000,2
505806,1,2,1,2,2020,10,9,10660,3,1,,1,,2,,2,,,,800,9800,2
505839,1,1,,2,2019,25,23,115000,1,,50,1,,2.5,,2,,,,6800,100000,2
510433,1,2,1,2,2019,4,0,6000,3,2,,1,,5,,2,,,,6000,0,2
511757,1,2,2,2,2011,10,1,15000,3,2,,1,,6,,2,,,,3720,3720,2
512517,1,2,1,2,2010,15,4,80000,1,,90,2,1,,1,2,,,,6912,24000,2
512784,1,2,2,1,2012,10,1,20000,3,1,,1,,9,,2,,,,6500,17000,2
512784,2,2,2,1,2016,10,5,20000,1,,17,1,,9,,2,,,,6500,17000,2
512887,1,1,,2,2003,25,5,64000,1,,100,1,,4,,2,,,,4404,16000,2
620858,1,1,,2,2003,25,7,100000,1,,43,1,,4,,2,,,,6192,40000,1
621766,1,2,2,2,2018,5,2,40000,1,,30,1,,2,,2,,,,6000,15000,2
635112,1,1,,1,2008,20,7,100000,1,,50,1,,5.85,,2,,,,8440,50000,2
635346,1,2,2,2,2011,10,0,40000,1,,20,1,,2.3,,2,,,,4400,4000,2
671152,1,1,,2,2005,35,19,100000,1,,90,1,,4,,2,,,,3600,60000,2
673145,1,1,,2,2018,20,17,80000,1,,60,2,1,,3.2,2,,,,5500,70000,2
676000,1,2,2,3,2010,10,1,40000,1,,10,1,,2,,2,,,,6000,12000,1
677464,1,2,3,2,2017,8,5,50000,3,1,,1,,2,,2,,,,12000,37000,2
680244,1,1,,2,2006,25,10,165000,1,,75,2,2,,1,2,,,,7200,75000,2
681394,1,1,,2,2011,30,20,160000,1,,70,2,2,,6,1,2,1,12,2200,135000,2
681520,1,1,,2,2020,20,20,80000,3,2,,1,,5,,2,,,,3780,76200,2
681520,2,1,,2,2020,10,9,13000,3,2,,1,,5,,2,,,,2400,12000,2
681520,3,2,2,2,2020,10,9,10000,3,2,,1,,5,,2,,,,2040,9000,2
681668,1,2,1,2,2000,20,0,20000,1,,15,1,,1.9,,2,,,,1520,0,2
681713,1,1,,2,2003,25,5,200000,1,,60,1,,2,,2,,,,7800,42000,2
681844,1,1,,2,2012,20,11,200000,1,,45,1,,1.4,,2,,,,9400,110000,2
683164,1,1,,2,2011,25,15,170000,1,,90,1,,1,,2,,,,7200,100000,1
683247,1,1,,1,2007,30,9,77000,3,1,,1,,5,,2,,,,4800,52300,2
683349,1,2,1,2,2017,20,15,225000,1,,80,2,2,,0.5,2,,,,16300,190000,2
683349,2,2,1,2,2020,20,19,260000,1,,45,2,2,,0.6,2,,,,6000,258000,2
