NQUEST,nord,INTPER,nattivita,ASS2GN,ASS2A,ASS2S_1,ASS2S,ASS2Q,ASS2T,ASS2TD,ASS2TS,ASS2CN,CONTRAZ_1,CONTRAZ,CONTRAZQ,ASS2RIS,ASS2RIST,ASS2K
31695,1,1,1,3,1980,1,,2,1,2,2,1,1,,2,2,,38000
31724,1,1,1,1,2007,,400,,1,,,1,,800,,2,,31000
31724,1,1,2,3,1999,,2400,,2,,,2,,,,2,,55000
31724,2,2,1,3,2001,,1200,,2,,,2,,,,2,,30000
31724,4,1,1,3,2019,,1200,,2,,,2,,,,2,,2500
32320,1,1,1,1,2018,,3000,,1,,,1,,600,,2,,12000
32320,2,1,1,3,2017,,5164,,2,,,2,,,,2,,20000
32320,3,1,1,1,2020,,2000,,1,,,1,,500,,2,,2500
36250,1,1,1,2,2018,,1200,,2,,,1,,1000,,2,,5000
38316,1,1,1,2,2000,1,,3,2,,,2,,,,2,,15000
39227,1,1,1,3,2010,1,,3,2,,,2,,,,2,,15000
39317,1,1,1,1,2012,,2400,,1,,,1,,144,,2,,9000
39318,1,1,1,3,2004,,2400,,2,,,2,,,,2,,33600
39318,2,2,1,3,2004,,2400,,2,,,2,,,,2,,33600
39318,3,1,1,3,2020,1,,1,1,,,1,1,,1,2,,100
53086,1,1,1,3,1983,1,,2,1,1,,2,,,,2,,39000
56582,1,1,1,2,2002,,360,,1,2,50,1,,500,,2,,18000
56761,3,3,1,3,2000,,1200,,2,,,2,,,,2,,80000
56761,4,3,1,3,2005,,1500,,2,,,2,,,,2,,60000
91081,1,2,1,3,2001,1,,1.5,2,,,1,1,,1,2,,35000
91081,2,2,1,3,2004,1,,1.5,2,,,1,,1000,,2,,10000
500726,1,1,1,1,1998,,600,,1,1,,1,,500,,2,,50000
502355,3,1,1,1,2010,1,,2,1,,,1,1,,2,2,,11000
504395,2,1,1,3,2005,,1600,,1,1,,2,,,,2,,
504921,2,2,1,2,2005,1,,2,1,1,,1,1,,2,1,10000,20000
505390,2,2,1,1,1996,1,,2,1,1,,1,1,,2,2,,45000
505606,2,1,1,3,2014,,1500,,2,,,2,,,,2,,9000
505818,1,1,1,3,2015,,5300,,2,,,2,,,,2,,15000
505818,2,2,1,3,2018,,5000,,2,,,2,,,,2,,10000
505839,2,1,1,3,4,1,,1,1,2,1,1,1,,1,2,,5000
507444,1,1,1,3,2012,,1250,,2,,,2,,,,2,,6500
510433,1,1,1,2,2007,1,,1,2,,,2,,,,1,5000,5000
512517,1,1,1,1,2018,,0,,1,,,1,1,,2,2,,1500
512887,1,1,1,3,2012,1,,5,1,,,1,1,,1,2,,15000
513406,3,1,1,1,2015,,1200,,2,,,2,,,,2,,6000
617023,2,1,1,1,1993,,160,,1,1,,1,,324,,2,,23500
617902,1,1,1,3,1970,1,,1,2,,,2,,,,2,,20000
630345,2,2,1,1,1998,1,,1,2,,,2,,,,2,,20000
634144,1,1,1,3,2020,,3000,,2,,,2,,,,2,,3000
671206,1,1,1,1,1999,,600,,2,,,1,,2000,,2,,35000
671480,1,1,1,2,2001,1,,10,1,1,,1,1,,1,2,,6000
673540,2,1,1,1,2020,1,,1,1,,,1,1,,3,2,,700
673882,1,1,1,1,2003,1,,1,2,,,2,,,,2,,20000
673882,4,1,1,1,2018,1,,1,2,,,2,,,,2,,12000
674105,2,1,1,1,2005,,180,,1,1,,2,,,,2,,
674815,2,1,1,3,2018,,1000,,2,,,2,,,,2,,3000
674868,1,1,1,3,2019,,1600,,2,,,2,,,,2,,2400
674869,1,1,1,3,2010,,1500,,2,,,2,,,,2,,15000
674869,3,1,1,1,2018,1,,2,1,,,1,1,,2,2,,4000
676521,3,1,1,3,2011,,1,2,1,,,2,,,,2,,1500
680244,1,1,1,2,2007,,0,,1,,,1,1,,2.3,2,,35000
680870,1,1,1,2,1999,,2400,,2,,,1,,400,,1,11000,40000
681394,2,2,1,1,2020,1,,1,1,,,2,,,,2,,250
682204,2,1,1,3,1993,1,,3,1,1,,1,1,,1,2,,60000
682408,2,1,1,3,2015,1,,1,1,,,1,1,,1,2,,2000
683119,1,2,1,2,2020,1,,2,1,,,2,,,,2,,
683119,2,2,1,2,2010,1,,1,1,,,1,1,,2,2,,18000
