NQUEST,TDEBITC,TDEBITD,TDEBITE,TDEBITF,TDEBITG,PFIMM,PFCONS,PFAZ,PFCARTE,PFCC,RATADEB_RES,RATADEB_AIMM,RATADEB_FAM,RATADEB_PROF,RATADEB,PFCOLL,PFNOCOLL
173,,,,,,0,,0,0,0,,,,,,0,0
633,,,,,,0,,0,0,0,,,,,,0,0
923,,,,,,0,,0,0,0,,,,,,0,0
2886,,,,,,0,,0,0,0,,,,,,0,0
3717,,,,80,,0,80,0,0,0,,,700,,700,0,80
5416,,,,,,0,,0,0,0,,,,,,0,0
7886,,,,,,0,,0,0,0,,,,,,0,0
20297,,,,,,59000,,0,0,0,,11232,,,11232,0,59000
20711,,,,,,0,,0,0,0,,,,,,0,0
22099,,,,,,0,,0,0,4578.8470695,,,,,,0,4578.8470695
22169,,,,,,0,,0,0,0,,,,,,0,0
22173,,,,,,0,,0,0,0,,,,,,0,0
22276,,,,,,0,,0,0,0,,,,,,0,0
22286,,,,,,0,,0,0,0,,,,,,0,0
22624,,,,,,0,,0,0,0,,,,,,0,0
22657,,,,,,0,,0,0,0,,,,,,0,0
23490,,,,,,0,,0,0,0,,,,,,0,0
23797,,,,36000,,0,36000,0,0,0,,,6000,,6000,36000,0
23821,,,,,,0,,0,0,0,,,,,,0,0
23823,,,,,,0,,0,0,0,,,,,,0,0
24147,,,,,,0,,0,0,0,,,,,,0,0
24809,,,,,,0,,0,0,0,,,,,,0,0
24853,,,,,,0,,0,0,0,,,,,,0,0
27114,,,,,,0,,0,0,0,,,,,,0,0
27116,,,,,,0,,0,0,0,,,,,,0,0
27238,,,,,,0,,0,0,0,,,,,,0,0
27730,,,,,,0,,0,1405.5531652,0,,,,,,0,1405.5531652
27734,,,,,,0,,0,0,0,,,,,,0,0
27739,,,,,,0,,0,0,0,,,,,,0,0
27742,,,,,,0,,0,0,0,,,,,,0,0
27912,,,,,,0,,0,0,0,,,,,,0,0
27923,,,,,,0,,0,0,0,,,,,,0,0
28992,,,,,,0,,0,0,0,,,,,,0,0
29140,,,,,,0,,0,0,0,,,,,,0,0
29678,,,,,,0,,0,0,0,,,,,,0,0
29680,,,,,,0,,0,0,0,,,,,,0,0
29737,,,,,,0,,0,0,0,,,,,,0,0
31093,,,,,,0,,0,0,0,,,,,,0,0
31220,,,,,,0,,0,0,0,,,,,,0,0
31221,,,,,,0,,0,0,0,,,,,,0,0
31625,,,,,,0,,0,0,0,,,,,,0,0
31652,,,,,,0,,0,0,0,,,,,,0,0
31695,,,,,,30000,,0,0,0,5400,,,,5400,30000,0
31724,,,,,,0,,0,0,0,,,,,,0,0
31757,,,,,,0,,0,0,0,,,,,,0,0
31860,,,,,,0,,0,0,0,,,,,,0,0
32057,,,,,,0,,0,0,0,,,,,,0,0
32190,,,,,,0,,0,0,0,,,,,,0,0
32320,,,,,,0,,0,0,0,,,,,,0,0
32471,,,,,,0,,0,0,0,,,,,,0,0
32524,,,,,,0,,0,0,0,,,,,,0,0
32556,,,,,,0,,0,0,0,,,,,,0,0
32729,15000,,,,,0,15000,0,0,5000,,,9600,,9600,15000,5000
32734,8280,,,,,0,8280,0,0,0,,,2760,,2760,0,8280
32765,,,,,,0,,0,0,0,,,,,,0,0
32772,,,,,,0,,0,0,0,,,,,,0,0
32822,,,,,,0,,0,0,0,,,,,,0,0
32839,,,,,,0,,0,0,0,,,,,,0,0
32861,,,,,,0,,0,0,0,,,,,,0,0
32887,,,,,,108000,,0,0,0,,15000,,,15000,108000,0
33036,,,,,,0,,0,0,0,,,,,,0,0
33038,,,,,,0,,0,0,0,,,,,,0,0
33275,,,,,,0,,0,0,0,,,,,,0,0
33303,,,,,,0,,0,0,0,,,,,,0,0
33335,,,,,,8000,,0,0,0,,3200,,,3200,0,8000
33451,,,,,,0,,0,0,0,,,,,,0,0
33479,,,,,,0,,0,0,0,,,,,,0,0
33839,,,,,,0,,0,0,0,,,,,,0,0
33882,,,,,,0,,0,0,0,,,,,,0,0
33937,,,,,,0,,0,0,0,,,,,,0,0
34252,,,,,,0,,0,0,0,,,,,,0,0
