NQUEST,TIPOI,QUEST,NQUESTP,STUPCF,STUMCF,STUPCO,STUMCO,CITPCF,CITMCF,CITPCO,CITMCO,VITGEN,NGEN,FIGLI,NFIGLI,PARNOIT,ANCONV,CONTINT,NCOMP
173,2,3,,2,2,,,1,1,,,2,,1,2,2,,2,1
633,1,3,,,,,,,,,,2,,1,1,,,1,1
923,2,3,,,,,,,,,,2,,1,3,,,2,1
2886,1,3,,,,,,,,,,1,1,1,3,,1976,3,2
3717,2,3,,,,,,,,,,2,,2,,2,,2,1
5416,2,3,,,,,,,,,,2,,2,,2,,2,4
7886,2,3,,,,,,,,,,1,1,1,2,,1974,1,2
20297,1,3,,2,2,7,7,1,1,2,2,2,,1,2,,2007,2,2
20711,1,3,,2,2,2,2,1,1,1,1,2,,1,5,,1970,5,2
22099,1,3,,2,2,2,2,1,1,1,1,2,,1,2,,1981,2,2
22169,2,3,,1,1,,,1,1,,,2,,1,4,,,2,1
22173,2,3,,,,,,,,,,2,,2,,2,,2,3
22276,2,3,,,,,,,,,,2,,2,,2,,3,1
22286,2,3,,,,,,,,,,1,1,2,,,1976,2,2
22624,1,3,,1,1,1,1,1,1,1,1,2,,1,2,,1980,2,4
22657,2,3,,3,3,3,2,1,1,1,1,2,,2,,,1973,2,2
23490,1,3,,,,,,,,,,2,,2,,2,,1,1
23797,1,3,,1,1,1,1,1,1,1,1,2,,1,2,,1984,1,2
23821,2,3,,,,,,,,,,2,,2,,2,,2,2
23823,1,3,,,,,,,,,,2,,1,2,,,1,2
24147,2,3,,,,,,,,,,2,,1,2,,1978,2,2
24809,2,3,,2,2,,,1,1,,,2,,2,,,,2,1
24853,1,3,,,,,,,,,,1,1,1,2,,1985,1,2
27114,1,3,,2,2,,,1,1,,,2,,2,,,,3,1
27116,2,3,,2,2,,,1,1,,,2,,2,,,,2,1
27238,1,3,,1,1,2,2,1,1,1,1,1,2,1,1,,1978,1,3
27730,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1970,1,4
27734,1,3,,2,1,2,2,1,1,1,1,2,,2,,,1971,1,2
27739,1,3,,1,2,,,1,1,,,2,,1,4,,,1,1
27742,1,3,,1,2,,,1,1,,,2,,1,2,,,3,1
27912,2,3,,,,,,,,,,2,,1,3,,1979,2,2
27923,2,3,,,,,,,,,,2,,1,3,,1978,2,4
28992,1,3,,2,2,2,2,1,1,1,1,2,,1,3,,,3,1
29140,1,3,,,,,,,,,,2,,2,,,1978,1,2
29678,2,3,,,,,,,,,,2,,1,3,,1957,2,2
29680,2,3,,2,2,2,2,1,1,1,1,1,3,2,,,1989,2,4
29737,1,3,,2,4,4,2,1,1,1,1,2,,2,,,1984,1,2
31093,2,3,,,,,,,,,,2,,2,,2,,4,1
31220,1,3,,1,1,1,1,1,1,1,1,2,,1,2,,1962,1,2
31221,1,3,,3,3,,,1,1,,,2,,2,,,,1,2
31625,1,3,,4,2,,,1,1,,,2,,2,,2,,2,1
31652,1,3,,,,,,,,,,2,,1,1,,1969,2,2
31695,2,3,,,,,,,,,,2,,1,2,,1987,2,2
31724,1,3,,,,,,,,,,1,1,1,1,,1985,1,4
31757,1,3,,3,3,,,1,1,,,2,,1,1,,,2,1
31860,1,3,,3,2,2,2,1,1,1,1,1,1,1,1,,1984,1,3
32057,2,3,,,,,,,,,,2,,1,1,,1964,7,2
32190,2,3,,3,4,,,1,1,,,2,,2,,2,,4,1
32320,1,3,,,,,,,,,,1,2,1,1,,1988,2,3
32471,1,3,,2,1,,,1,1,,,2,,1,4,,,1,1
32524,2,3,,,,,,,,,,2,,2,,,1976,3,2
32556,2,3,,2,2,,,1,1,,,2,,2,,,,2,1
32729,1,3,,2,1,1,1,1,1,1,1,2,,1,2,,1977,2,2
32734,1,3,,,,,,,,,,2,,1,2,2,,2,1
32765,2,3,,,,,,,,,,1,2,2,,,1989,2,2
32772,2,3,,,,,,,,,,2,,1,2,,1973,2,2
32822,1,3,,5,4,,,1,1,,,2,,2,,2,,4,1
32839,1,3,,2,2,2,2,1,1,1,1,2,,1,2,,1969,2,2
32861,1,3,,2,2,2,2,1,1,1,1,2,,1,3,,1974,1,2
32887,2,3,,,,,,,,,,1,2,1,2,,1986,2,2
33036,1,3,,1,1,1,1,1,1,1,1,2,,2,,,1965,1,4
33038,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1985,2,6
33275,1,3,,2,4,4,4,1,1,1,1,2,,2,,2,,3,2
33303,1,3,,,,,,,,,,2,,1,2,,1967,1,2
33335,1,3,,2,1,2,1,1,1,1,1,1,3,1,2,,1982,1,2
33451,2,3,,4,4,,,1,1,,,2,,2,,2,,3,3
33479,1,3,,3,3,,,1,1,,,2,,2,,2,,1,2
33839,2,3,,,,,,,,,,2,,1,2,2,,2,1
33882,2,3,,,,,,,,,,2,,2,,,1980,3,2
33937,1,3,,1,1,1,1,1,1,1,1,2,,1,2,,1971,1,2
34252,1,3,,1,1,,,2,2,,,2,,1,4,,,1,2
34778,2,3,,,,,,,,,,2,,2,,2,,2,2
34825,1,3,,2,1,2,1,1,1,1,1,2,,1,2,,1976,2,2
35022,1,3,,2,2,2,2,1,1,1,1,1,1,1,2,,1990,5,2
35234,1,3,,2,1,2,2,1,1,2,2,2,,1,2,,2003,3,2
35322,1,3,,1,1,1,1,1,1,1,1,2,,1,3,,1958,3,2
35323,1,3,,2,1,1,1,1,1,1,1,2,,1,2,,1959,2,2
35340,1,3,,,,,,,,,,2,,1,4,,,1,2
35372,1,3,,,,,,,,,,1,1,1,1,,1973,1,3
35379,2,3,,2,2,2,2,1,1,1,1,2,,1,2,,1976,2,2
35640,1,3,,2,2,2,2,1,1,1,1,2,,1,2,,1972,3,2
35682,2,3,,,,,,,,,,2,,1,3,,1976,3,2
35788,1,3,,2,1,2,1,1,1,1,1,2,,1,3,,1977,3,2
36130,1,3,,,,,,,,,,1,2,1,1,,1986,1,2
36186,2,3,,,,,,,,,,2,,2,,,,1,4
36250,2,3,,,,,,,,,,1,1,1,2,2,,4,1
36321,2,3,,3,3,2,4,1,1,1,1,2,,1,1,,1980,2,3
36333,2,3,,1,2,,,1,1,,,2,,1,2,,,4,1
36403,2,3,,2,2,,,1,1,,,2,,1,4,1,,5,2
36409,1,3,,,,,,,,,,2,,1,3,,,1,1
36443,1,3,,2,2,2,2,1,1,1,1,1,1,2,,,1990,2,2
36697,2,3,,,,,,,,,,2,,1,1,2,,2,1
36893,1,3,,2,2,2,2,1,1,1,1,2,,1,2,,1980,1,2
37299,2,3,,1,1,2,1,1,1,1,1,2,,1,3,,1988,2,2
37521,1,3,,,,,,,,,,2,,2,,2,,7,1
37810,1,3,,2,2,,,1,1,,,2,,2,,2,,1,1
38014,1,3,,7,7,2,2,1,1,1,1,2,,2,,,1978,2,2
38095,1,3,,2,2,2,2,1,1,1,1,1,2,1,2,,1985,1,2
38106,1,3,,2,2,,,1,1,,,2,,2,,,,2,1
38316,2,3,,,,,,,,,,2,,1,1,,1984,3,4
38877,1,3,,,,,,,,,,2,,1,1,,1973,1,2
38885,1,3,,,,,,,,,,2,,1,2,,1973,1,2
38939,2,3,,,,,,,,,,2,,2,,2,,2,4
38940,2,3,,,,,,,,,,2,,1,2,,1971,6,2
39056,2,3,,,,,,,,,,3,,1,2,,1979,2,2
39086,1,3,,1,1,2,2,1,1,1,1,2,,2,,,1965,1,2
39095,1,3,,,,,,,,,,1,1,1,1,,,7,1
39218,2,3,,2,5,,,1,1,,,2,,2,,2,,2,1
39227,2,3,,,,,,,,,,1,1,1,1,1,,2,2
39317,2,3,,,,,,,,,,1,1,1,1,,1990,3,4
39318,1,3,,,,,,,,,,1,2,2,,,1991,3,3
39488,1,3,,2,2,,,1,1,,,2,,1,2,2,,1,1
39697,2,3,,3,2,2,2,1,1,1,1,1,1,1,2,,1990,2,2
50231,2,3,,1,1,,,1,1,,,2,,2,,,,3,3
51363,1,3,,2,1,,,1,1,,,2,,1,2,,,1,1
51544,2,3,,,,,,,,,,2,,1,1,,1974,2,2
51895,1,3,,,,,,,,,,2,,1,3,,1964,1,2
52700,1,3,,,,,,,,,,1,1,1,3,,,1,1
52718,1,3,,,,,,,,,,2,,1,2,,,1,1
52736,2,3,,,,,,,,,,2,,2,,2,,2,1
53086,1,3,,2,2,,,1,1,,,2,,2,,2,,1,1
53202,2,3,,2,2,,,1,1,,,2,,1,2,,,2,1
53234,1,3,,,,,,,,,,2,,1,2,,1978,2,3
53373,1,3,,,,,,,,,,2,,1,2,,1973,1,2
53380,2,3,,1,1,,,1,1,,,2,,1,1,,,2,2
53552,1,3,,2,2,,,1,1,,,1,1,1,3,2,,3,1
53564,2,3,,,,,,,,,,2,,2,,2,,2,1
53997,1,3,,,,,,,,,,2,,2,,,,2,2
55147,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1962,3,2
55425,1,3,,2,2,,,1,1,,,2,,2,,2,,1,1
55636,1,3,,2,2,2,2,1,1,1,1,2,,1,2,,1982,1,4
55774,1,3,,1,1,,,1,1,,,2,,1,1,,,1,3
56251,1,3,,2,2,,,1,1,,,2,,2,,,,1,2
56563,1,3,,1,1,1,1,1,1,1,1,2,,2,,,1959,1,2
56582,1,3,,2,1,1,1,1,1,1,1,1,1,1,1,,1983,2,2
56603,2,3,,2,2,2,2,1,1,1,1,1,1,1,1,,1990,2,2
56658,1,3,,2,2,,,1,1,,,2,,2,,2,,3,1
56677,1,3,,4,2,4,4,1,1,1,1,2,,1,3,,1963,2,3
56721,1,3,,,,,,,,,,2,,1,2,,1981,2,2
56761,2,3,,2,2,2,2,1,1,1,1,1,1,2,,,2003,4,6
56762,1,3,,2,1,2,2,1,1,1,1,2,,1,1,,1983,1,2
57042,1,3,,,,,,,,,,2,,1,2,,,1,1
57138,1,3,,2,3,,,1,1,,,2,,1,2,,,2,1
57621,1,3,,2,3,2,2,1,1,1,1,1,1,1,3,,1978,2,2
57670,2,3,,3,2,,,1,1,,,2,,2,,,,2,6
57779,2,3,,3,2,2,1,1,1,1,1,2,,1,2,,1976,1,3
57962,2,3,,,,,,,,,,2,,1,2,,1983,5,2
60078,1,3,,1,1,2,1,1,1,1,1,2,,1,2,,1983,1,3
91071,2,3,,2,2,2,2,1,1,1,1,1,2,2,,,1995,3,4
91079,1,3,,2,2,3,2,1,1,1,1,1,2,2,,,1995,2,3
91081,2,3,,2,2,2,2,1,1,1,1,3,,2,,,1995,4,3
91095,1,3,,,,,,,,,,1,2,2,,,2000,3,3
111052,1,3,,2,2,1,2,1,1,1,1,2,,1,1,,1970,1,3
145007,2,3,,,,,,,,,,2,,1,3,,1981,6,3
178001,1,3,,1,2,,,1,1,,,2,,1,1,2,,4,1
213440,1,3,,2,2,2,2,1,1,1,1,2,,1,2,,1973,1,2
224048,1,3,,2,2,,,1,1,,,2,,1,3,,,3,1
230029,2,3,,2,1,1,1,1,1,1,1,2,,1,2,,1980,2,2
230037,2,3,,,,,,,,,,2,,1,2,,1974,2,2
237003,2,3,,3,2,2,2,1,1,1,1,2,,1,2,,1974,7,2
244013,1,3,,1,1,1,2,1,1,1,1,2,,1,2,,1967,2,2
244058,1,3,,1,1,1,1,1,1,1,1,1,2,1,1,,1995,1,2
250005,1,3,,2,2,2,2,1,1,1,1,2,,1,3,,1968,4,2
250010,1,3,,,,,,,,,,2,,2,,,,2,3
250039,1,3,,1,1,,,1,1,,,1,1,1,2,,,6,1
282083,2,3,,,,,,,,,,2,,1,1,,,2,1
282089,2,3,,,,,,,,,,2,,1,2,,1979,2,2
284086,2,3,,2,1,2,1,1,1,1,1,2,,2,,,1970,2,3
310002,2,3,,1,1,1,1,1,1,1,1,2,,1,2,,1965,3,2
310005,1,3,,2,2,,,1,1,,,2,,1,2,,,1,1
321009,1,3,,,,,,,,,,2,,1,2,,1965,2,2
333081,2,3,,,,,,,,,,2,,1,3,,1962,2,2
365034,1,3,,,,,,,,,,2,,1,3,,,1,1
387029,1,3,,,,,,,,,,2,,1,2,,1971,6,2
389084,1,3,,,,,,,,,,1,1,1,2,,1975,3,2
500001,2,3,,,,,,,,,,2,,1,1,,,6,1
500090,2,3,,,,,,,,,,2,,1,2,,1960,1,2
500176,1,3,,,,,,,,,,2,,1,3,,1969,1,3
500669,1,3,,,,,,,,,,1,2,1,1,,1997,2,2
500674,1,3,,,,,,,,,,2,,1,2,,,2,1
500726,2,3,,,,,,,,,,1,3,1,1,,1993,3,2
501068,1,3,,1,1,1,1,1,1,1,1,2,,2,,,1976,1,2
501082,1,3,,2,2,2,2,1,1,1,1,2,,2,,,1980,1,2
501694,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1975,2,2
502060,1,3,,,,,,,,,,2,,2,,1,,4,1
502355,2,3,,,,,,,,,,1,2,1,1,,1983,2,3
502364,1,3,,,,,,,,,,2,,2,,,,1,1
