NQUEST,RCDOM,RCDOMAN,RCACC,RCPATTOA,RCPATTOB,RCMES19,RCAMM19,RCMES20,RCAMM20,RCANNI,RCANNI1,MISCOVID3,MISCOVIDV3,MISCOVID4,MISCOVIDV4,MISCOVID5,MISCOVIDV5,VARRED,VARREDA,VARREDB,VARREDCOME1,VARREDCOME2,VARREDCOME3,VARREDCOME4,VARREDCOME5,VARREDCOME6,VARREDFINE,VARREDFINEA,VARREDFINEB,ASPRED,IMPCOVID1,IMPCOVID2,IMPCOVID3,IMPCOVID4,DOCSEZB
173,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
633,3,,,,,,,,,,,2,,,,2,,2,,,,,,,,,3,,200,1,2,2,2,2,2
923,2,,,,,,,,,3,,2,,,,2,,3,,100,2,2,2,1,2,1,3,,100,4,2,2,2,2,2
2886,2,,,,,,,,,6,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
3717,1,3,1,2,2,12,519,12,520,2,,2,,,,2,,1,500,,,,,,,,2,,,2,2,2,2,2,2
5416,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
7886,2,,,,,,,,,2,,2,,2,,2,,3,,4500,2,2,2,2,2,2,2,,,2,1,2,2,2,2
20297,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
20711,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
22099,2,,,,,,,,,,1,2,,2,,2,,3,,10000,1,2,2,1,2,1,3,,10000,1,2,1,1,2,2
22169,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
22173,2,,,,,,,,,4,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
22276,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
22286,2,,,,,,,,,,1,2,,,,2,,4,,,,,,,,,2,,,3,2,2,2,2,2
22624,2,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,,2,,,1,2,1,1,2,2
22657,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
23490,3,,,,,,,,,,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
23797,2,,,,,,,,,4,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,1
23821,2,,,,,,,,,10,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
23823,2,,,,,,,,,10,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
24147,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
24809,3,,,,,,,,,,,2,,,,2,,3,,100,2,2,2,2,2,2,2,,,4,2,2,2,2,2
24853,2,,,,,,,,,1,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
27114,2,,,,,,,,,4,,2,,,,2,,2,,,,,,,,,2,,,4,2,2,2,2,2
27116,3,,,,,,,,,,,2,,,,2,,2,,,,,,,,,2,,,4,2,2,2,2,2
27238,2,,,,,,,,,0,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,1,2,2
27730,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,3,2,2,2,2,2
27734,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
27739,1,3,2,,,,,,,,1,2,,,,2,,3,,360,2,2,2,2,2,2,4,,,2,2,2,2,2,2
27742,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
27912,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
27923,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
28992,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,3,,7500,1,2,2,2,2,1
29140,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
29678,3,,,,,,,,,,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
29680,2,,,,,,,,,5,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
29737,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
31093,2,,,,,,,,,2,,2,,2,,2,,3,,20000,1,1,2,2,1,1,3,,10000,1,2,1,2,2,1
31220,2,,,,,,,,,1,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
31221,3,,,,,,,,,,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
31625,2,,,,,,,,,1,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
31652,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
31695,2,,,,,,,,,0,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
31724,2,,,,,,,,,0,,2,,2,,2,,2,,,,,,,,,1,100000,,3,2,2,2,2,1
31757,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
