NQUEST,CTIT,NCTIT,ICTIT,UNABAN,BANCHE,QUOTAINTP,SCOPER,UTSCOPER,MESISCOPER,VMSCOPER,FSCOPER,FSCOPER1,CARTA,CARTE,USOCART,CARTDEB,CARTDEB1,BANCOMAT,NBANCOMA,CARTAPRE,NCARTAPRE,SPESECON,COLDIS,TRADING,ECREDIT,INTERNET,EBUY,PRELN,PRELQUALIT,PRELMOTIV1,PRELMOTIV2,PRELMOTIV3,DEPOSIT,NDEPOSIT
173,2,,,1,1,,1,2,,,,,1,1,1,,,1,1,2,,1000,2,,,1,2,4,6,,,,1,1
633,2,,,1,1,,3,,,,,,2,,,,,1,1,2,,50,1,3,3,2,,1,6,,,,1,2
923,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,250,2,,,2,,2,8,,,,1,1
2886,2,,,2,2,40,1,2,,,,,2,,,,,1,2,2,,2000,2,,,1,3,7,8,,,,1,3
3717,,,,,,,,,,,,,2,,,,,2,,2,,500,2,,,2,,0,6,,,,2,0
5416,2,,,1,1,,2,,,,,,2,,,,,1,4,2,,500,2,,,1,3,3,8,,,,1,1
7886,2,,,1,1,,1,2,,,,,2,,,,,1,2,2,,300,2,,,1,3,3,10,,,,1,2
20297,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,4,2,1,2,1,1,1
20711,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,1000,2,,,2,,2,10,,,,1,1
22099,2,,,1,1,,1,1,2,1000,,2,2,,,,,1,1,2,,700,2,,,1,3,4,8,,,,1,1
22169,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,780,2,,,2,,4,6,,,,1,1
22173,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,1200,2,,,1,2,4,7,,,,1,1
22276,,,,,,,,,,,,,2,,,,,2,,2,,600,2,,,2,,2,8,,,,2,0
22286,2,,,2,2,70,2,,,,,,2,,,,,1,2,2,,400,2,,,2,,2,9,,,,1,2
22624,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,1000,2,,,1,3,2,9,,,,1,1
22657,2,,,1,1,,2,,,,,,1,2,2,,,2,,2,,150,2,,,1,2,2,8,,,,1,2
23490,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,200,2,,,2,,1,8,,,,1,1
23797,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,1400,1,3,3,1,2,4,7,,,,1,1
23821,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,500,2,,,2,,5,8,,,,1,1
23823,2,,,1,1,,1,2,,,,,1,1,2,,,2,,2,,1300,1,3,3,1,3,6,9,,,,1,1
24147,2,,,2,2,70,1,2,,,,,1,2,2,,,1,2,2,,300,1,3,3,1,2,1,10,,,,1,2
24809,2,,,1,1,,2,,,,,,2,,,,,2,,2,,100,2,,,2,,1,2,2,1,1,1,1
24853,1,1,1,2,3,60,1,2,,,,,2,,,,,1,3,1,1,700,1,3,3,1,2,2,8,,,,1,3
27114,2,,,1,1,,1,2,,,,,1,1,1,,,1,1,2,,800,2,,,2,,2,10,,,,1,2
27116,2,,,2,2,25,1,2,,,,,1,2,1,,,1,1,2,,400,2,,,2,,1,10,,,,1,2
27238,2,,,1,1,,2,,,,,,2,,,,,1,3,2,,500,2,,,1,2,5,10,,,,1,3
27730,2,,,1,1,,2,,,,,,1,1,3,,1,1,1,2,,800,2,,,1,3,3,8,,,,1,2
27734,2,,,1,1,,2,,,,,,2,,,,,1,2,1,1,300,2,,,1,3,12,6,,,,1,1
27739,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,50,2,,,2,,4,7,,,,1,1
27742,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,640,2,,,2,,3,8,,,,1,1
27912,2,,,1,1,,1,2,,,,,1,1,2,,,1,1,1,1,500,2,,,1,2,2,8,,,,1,2
27923,2,,,2,2,,3,,,,,,2,,,,,1,2,2,,500,2,,,1,2,4,9,,,,1,2
