NQUEST,ANABIT,GODABIT,UNIPRO,QUOPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS1,IMPACQ2,FITTONOP,TFITTONOP,TFITTO,TIPOAFF2,DFITTOM,TFITTOM,PROPRIET2,TFITIMP,RITAFF,SUPAB,ANCOSTR,BAGNI,VALABIT,ASPVALABIT1,ASPVALABIT2,ASPVALABIT3,ASPVALABIT4,ASPVALABIT5,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,ANTIC,ANTICIPI,DEBITA1,NDEBITA1,DEBITA2,NDEBITA2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,CHIFINMUT1,CHIFINCONS1,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR,FMUTRIF,MUTUOE,MUTUORIF,REAPMUT,MUTUOR3,MUTUOE3,REAPMUT3,MUTUORIC,MUTUORIC3,DOCSEZD
173,2004,1,1,,2004,1,0,0,0,0,0,0,0,0,1,100000,,,,,,,,600,,160,1980,2,150000,30,30,20,20,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
633,1965,1,1,,1960,1,0,0,0,0,0,0,0,0,3,100000,,,,,,,,400,,65,1960,1,120000,0,100,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
923,1957,1,1,,1956,1,0,0,0,0,0,0,0,0,5,6000,,,,,,,,300,,100,1956,1,150000,10,10,30,20,30,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
2886,1981,1,1,,1981,1,1,0,0,0,0,0,0,0,1,23000,,,,,,,,300,,100,1968,2,180000,100,0,0,0,0,1,2,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
3717,2012,2,,,,1,0,0,0,0,0,0,0,0,,,,,400,1,2,,2,,1,60,1980,2,65000,10,20,30,30,10,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,1,1,2,,,1,2,2,,1,500,2,,,,,2,,,2,2,2
5416,1985,2,,,,,,,,,,,,,,,,,350,1,2,,2,,2,100,1958,1,100000,30,30,40,0,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
7886,1986,1,1,,1986,1,1,0,0,0,0,0,0,0,1,300000,,,,,,,,700,,120,1960,2,500000,0,100,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
20297,1965,2,,,,,,,,,,,,,,,,,400,2,1,500,2,,2,83,1960,1,100000,10,10,20,30,30,2,,2,,2,,2,,2,,,,1,1,2,,2,,2,,2,,2,,1,,2,2,,2,,2,,,,,1,1,,,,2
20711,1944,4,,,,,,,,,,,,,,,,,,,,,1,500,,80,1939,1,200000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
22099,1982,1,1,,1982,1,1,0,0,0,0,0,0,0,3,60000,,,,,,,,500,,100,1950,2,200000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
