NQUEST,ASS2NEW1,ASS2NEW2,ASS2NEW3,ASS2NEW4,ASS2NEW5,ASS2NEW6,ASS1NEW1,ASS1NEW2,ASS1NEW3,ASS1NEW4,ASS1NEW5,ASS1NEW6,ASS4,ASS4S,ASS31,ASS3S1,ASS32,ASS3S2,ASS33,ASS3S3,DOCSEZF
173,,,,,,,2,,,,,,2,,2,,2,,2,,2
633,2,,,,,,2,,,,,,2,,2,,1,200,2,,2
923,2,,,,,,2,,,,,,2,,2,,2,,2,,2
2886,,,,,,,2,2,,,,,2,,2,,2,,2,,2
3717,2,,,,,,2,,,,,,2,,2,,2,,2,,2
5416,,2,2,2,,,2,2,2,2,,,2,,1,500,2,,2,,2
7886,,2,,,,,2,2,,,,,2,,1,300,2,,2,,2
20297,,2,,,,,1,2,,,,,2,,2,,2,,2,,2
20711,2,,,,,,2,1,,,,,2,,1,550,1,200,2,,2
22099,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
22169,,,,,,,2,,,,,,2,,2,,2,,2,,2
22173,2,2,,,,,2,2,2,,,,2,,2,,2,,2,,2
22276,,,,,,,2,,,,,,2,,1,400,2,,2,,2
22286,,,,,,,2,2,,,,,2,,2,,2,,2,,2
22624,2,2,2,2,,,2,2,2,2,,,2,,1,800,2,,2,,2
22657,,,,,,,2,2,,,,,2,,1,300,1,150,2,,2
23490,,,,,,,2,,,,,,2,,1,380,1,350,2,,1
23797,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
23821,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
23823,2,2,,,,,2,2,,,,,2,,1,500,2,,2,,2
24147,,,,,,,2,2,,,,,2,,1,1300,1,760,2,,2
24809,2,,,,,,2,,,,,,2,,2,,2,,2,,2
24853,,2,,,,,1,2,,,,,2,,1,1000,2,,2,,2
27114,2,,,,,,2,,,,,,2,,2,,2,,2,,2
27116,,,,,,,2,,,,,,2,,2,,2,,2,,2
27238,,2,2,,,,2,2,2,,,,2,,1,1600,2,,2,,2
27730,,2,2,2,,,2,2,2,2,,,2,,1,460,2,,2,,2
27734,,2,,,,,2,1,,,,,2,,1,500,2,,2,,2
27739,2,,,,,,2,,,,,,2,,2,,2,,2,,2
27742,2,,,,,,2,,,,,,2,,2,,2,,2,,2
27912,,,,,,,2,2,,,,,2,,1,150,2,,2,,2
27923,,2,2,2,,,2,2,2,2,,,2,,1,680,2,,2,,2
28992,2,,,,,,2,,,,,,2,,2,,2,,2,,2
29140,,,,,,,2,2,,,,,2,,1,400,1,200,2,,2
29678,,2,,,,,2,2,,,,,2,,1,380,2,,2,,2
29680,2,2,2,2,,,2,2,2,2,,,2,,2,,2,,2,,2
29737,,,,,,,2,2,,,,,2,,2,,2,,2,,2
31093,2,,,,,,2,,,,,,2,,2,,2,,2,,1
31220,2,,,,,,2,2,,,,,2,,1,470,1,500,2,,2
31221,,2,,,,,2,2,,,,,2,,1,450,2,,2,,2
31625,2,,,,,,1,,,,,,1,1000,1,250,2,,2,,2
31652,,,,,,,2,2,,,,,2,,1,800,1,150,1,80,2
31695,1,2,,,,,2,2,,,,,2,,1,700,1,300,2,,2
31724,1,1,2,1,,,2,2,2,2,,,1,0,1,1300,2,,2,,2
31757,2,,,,,,2,,,,,,2,,1,300,2,,2,,2
31860,2,2,2,,,,1,2,2,,,,2,,1,1500,1,500,2,,2
32057,2,,,,,,2,2,,,,,2,,1,250,1,580,2,,2
32190,,,,,,,2,,,,,,2,,1,800,1,400,2,,2
32320,1,1,1,,,,2,2,2,,,,1,500,1,650,1,230,2,,2
32471,,,,,,,2,,,,,,2,,2,,2,,2,,2
32524,,,,,,,2,2,,,,,1,1000,1,522,1,341,2,,1
32556,,,,,,,2,,,,,,2,,1,300,2,,2,,2
32729,2,2,,,,,2,2,,,,,2,,1,700,1,700,1,70,2
32734,2,,,,,,2,,,,,,2,,1,390,2,,2,,2
32765,,,,,,,2,2,,,,,2,,1,1000,1,200,2,,2
32772,2,,,,,,2,2,,,,,2,,1,600,1,60,2,,2
32822,2,,,,,,2,,,,,,2,,2,,2,,2,,2
32839,,2,,,,,2,2,,,,,2,,1,350,2,,2,,2
32861,,,,,,,2,2,,,,,2,,1,700,2,,2,,2
32887,2,2,,,,,2,2,,,,,1,3000,1,600,2,,2,,2
33036,,2,2,2,,,2,2,2,2,,,2,,2,,2,,2,,1
33038,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,,2,,2
33275,,,,,,,2,2,,,,,2,,2,,2,,2,,2
33303,,,,,,,2,2,,,,,2,,1,600,1,350,2,,2
33335,2,,,,,,2,2,,,,,2,,1,900,1,134,2,,2
33451,,2,2,,,,1,2,2,,,,2,,2,,2,,2,,2
33479,,,,,,,2,2,,,,,2,,2,,2,,2,,2
33839,2,,,,,,2,,,,,,2,,2,,2,,2,,2
33882,,2,,,,,2,2,,,,,2,,1,500,2,,2,,2
33937,,2,,,,,2,2,,,,,2,,1,900,2,,2,,2
34252,2,,,,,,2,2,,,,,2,,2,,2,,2,,2
34778,2,2,,,,,1,2,,,,,2,,1,500,2,,2,,2
34825,,,,,,,2,2,,,,,2,,1,760,2,,2,,2
35022,2,2,,,,,2,2,,,,,2,,1,400,2,,2,,2
35234,,,,,,,2,2,,,,,2,,1,493,1,130,2,,1
35322,2,,,,,,2,2,,,,,2,,2,,2,,2,,2
35323,2,,,,,,2,2,,,,,2,,2,,2,,2,,2
35340,2,2,,,,,2,2,,,,,2,,1,200,2,,2,,2
35372,2,,2,,,,2,2,2,,,,2,,1,250,2,,2,,2
35379,,2,,,,,2,2,,,,,2,,1,700,2,,2,,2
35640,,,,,,,2,2,,,,,2,,2,,2,,2,,2
35682,,,,,,,2,2,,,,,2,,1,1000,1,500,2,,2
35788,,,,,,,2,2,,,,,2,,1,700,2,,2,,2
36130,,2,,,,,2,2,,,,,2,,1,1500,2,,2,,2
36186,2,2,2,2,,,2,2,2,2,,,2,,1,900,2,,2,,2
36250,1,,,,,,1,,,,,,2,,1,500,2,,2,,2
36321,,2,2,,,,2,2,2,,,,2,,1,600,2,,2,,2
36333,2,,,,,,2,,,,,,2,,2,,1,120,2,,2
36403,2,,,,,,2,2,,,,,2,,2,,2,,2,,2
36409,,,,,,,2,,,,,,2,,2,,2,,2,,2
36443,,2,,,,,2,2,,,,,2,,1,680,1,120,2,,2
36697,,,,,,,2,,,,,,2,,2,,2,,2,,2
36893,,2,,,,,2,2,,,,,2,,1,900,2,,2,,2
37299,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
37521,,,,,,,2,,,,,,1,190,1,650,1,450,2,,2
37810,,,,,,,2,,,,,,2,,2,,2,,2,,2
38014,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
38095,2,2,,,,,2,2,,,,,2,,1,320,2,,2,,2
38106,,,,,,,2,,,,,,2,,1,500,1,300,2,,2
38316,1,2,2,2,,,2,2,2,2,,,2,,1,3500,1,1200,2,,2
38877,,2,,,,,2,2,,,,,2,,1,300,2,,2,,2
38885,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
38939,2,2,,,,,2,2,2,2,,,2,,1,700,2,,2,,2
38940,,,,,,,2,2,,,,,2,,1,220,2,,2,,2
39056,,2,,,,,2,2,,,,,2,,1,1600,1,150,2,,2
39086,2,,,,,,2,2,,,,,2,,1,700,2,,2,,2
39095,2,,,,,,2,,,,,,2,,1,300,1,300,2,,2
39218,,,,,,,2,,,,,,2,,1,800,2,,2,,2
39227,1,,,,,,1,2,,,,,2,,1,500,1,450,2,,2
39317,1,2,2,2,,,2,1,2,2,,,2,,1,500,1,250,1,700,1
39318,1,1,1,,,,1,1,1,,,,1,0,1,1200,1,120,1,487,2
39488,2,,,,,,1,,,,,,2,,1,550,1,120,2,,1
39697,,,,,,,2,2,,,,,2,,2,,2,,2,,2
50231,2,2,2,,,,2,2,2,,,,2,,1,800,2,,2,,2
51363,2,,,,,,2,,,,,,2,,2,,2,,2,,2
51544,,2,,,,,2,2,,,,,2,,1,600,2,,2,,2
51895,,,,,,,2,2,,,,,2,,1,310,1,450,1,0,2
52700,2,,,,,,2,,,,,,2,,2,,2,,2,,2
52718,2,,,,,,2,,,,,,2,,1,300,2,,2,,2
52736,2,,,,,,2,,,,,,2,,2,,2,,2,,2
53086,1,,,,,,2,,,,,,2,,1,700,2,,2,,2
53202,,,,,,,2,,,,,,2,,1,850,2,,2,,2
53234,,2,2,,,,2,2,2,,,,2,,1,1100,1,250,2,,2
53373,,,,,,,2,2,,,,,2,,1,400,1,500,2,,2
53380,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
53552,2,,,,,,2,,,,,,2,,1,500,2,,2,,2
53564,2,,,,,,2,,,,,,2,,1,650,2,,2,,2
53997,,2,,,,,2,2,,,,,2,,1,500,1,100,2,,2
55147,,,,,,,2,2,,,,,2,,2,,2,,2,,2
55425,2,,,,,,1,,,,,,2,,1,300,2,,2,,2
55636,2,2,2,2,,,2,2,2,2,,,2,,1,1200,2,,2,,2
55774,2,2,2,,,,2,2,2,,,,2,,1,1200,2,,2,,2
56251,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
56563,,,,,,,2,2,,,,,2,,1,200,2,,2,,2
56582,1,,,,,,2,2,,,,,1,150,1,900,2,,2,,2
56603,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
56658,2,,,,,,2,,,,,,2,,2,,2,,2,,2
56677,,,2,,,,2,2,2,,,,2,,2,,2,,2,,2
56721,2,,,,,,2,2,,,,,2,,1,630,2,,2,,2
56761,,,1,1,2,2,2,2,1,1,2,2,2,,1,3000,1,800,2,,2
56762,,2,,,,,1,2,,,,,2,,1,600,2,,2,,2
57042,,,,,,,2,,,,,,2,,2,,2,,2,,2
57138,,,,,,,2,,,,,,2,,1,700,2,,2,,2
57621,,,,,,,2,2,,,,,2,,1,1100,1,150,2,,2
57670,2,2,2,,,,2,2,2,2,2,2,2,,2,,2,,2,,2
57779,2,,2,,,,2,2,2,,,,2,,2,,2,,2,,2
57962,,,,,,,2,2,,,,,2,,1,1200,1,510,2,,2
60078,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
91071,2,2,2,2,,,2,2,2,2,,,2,,1,1200,2,,2,,2
91079,2,2,2,,,,1,2,2,,,,2,,1,1350,2,,2,,2
91081,1,1,2,,,,2,2,2,,,,1,5000,1,1300,2,,2,,2
91095,2,2,2,,,,1,1,2,,,,2,,1,500,2,,2,,2
111052,,,2,,,,2,2,2,,,,2,,2,,2,,1,250,2
145007,2,2,2,,,,2,2,2,,,,2,,1,800,2,,2,,2
178001,,,,,,,2,,,,,,2,,1,300,2,,2,,2
213440,,2,,,,,2,2,,,,,2,,1,750,2,,2,,2
224048,,,,,,,2,,,,,,2,,2,,2,,2,,2
230029,,,,,,,2,2,,,,,2,,1,400,1,540,2,,2
230037,,,,,,,2,2,,,,,2,,1,570,2,,2,,2
237003,,,,,,,1,1,,,,,2,,1,890,2,,2,,2
244013,,,,,,,2,2,,,,,2,,1,500,2,,2,,2
244058,2,2,,,,,2,2,,,,,2,,1,600,2,,2,,2
250005,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
250010,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
250039,2,,,,,,2,,,,,,2,,2,,2,,2,,2
282083,,,,,,,2,,,,,,2,,2,,2,,2,,2
282089,2,,,,,,2,2,,,,,2,,1,730,2,,2,,2
284086,,,2,,,,2,2,2,,,,2,,1,450,2,,2,,2
310002,,2,,,,,2,2,,,,,2,,1,250,2,,2,,2
310005,2,,,,,,2,,,,,,2,,2,,2,,2,,2
321009,,,,,,,2,2,,,,,2,,2,,1,232,2,,2
333081,,2,,,,,2,2,,,,,2,,1,380,2,,2,,2
365034,,,,,,,2,,,,,,2,,2,,2,,2,,2
387029,,2,,,,,2,2,,,,,2,,1,500,1,900,2,,2
389084,2,,,,,,2,2,,,,,2,,1,500,2,,2,,2
500001,,,,,,,2,,,,,,2,,1,400,1,350,2,,2
500090,,2,,,,,2,2,,,,,2,,1,420,2,,2,,2
500176,,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
500669,2,2,,,,,1,1,,,,,2,,1,320,1,250,2,,2
500674,,,,,,,2,,,,,,2,,2,,1,420,2,,2
500726,1,2,,,,,2,2,,,,,2,,1,500,1,300,1,100,1
501068,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
501082,,2,,,,,2,2,,,,,2,,1,650,2,,2,,2
501694,,,,,,,2,2,,,,,2,,1,1200,2,,2,,2
502060,2,,,,,,2,,,,,,2,,1,400,2,,2,,2
502355,2,2,1,,,,2,2,2,,,,1,250,1,1500,2,,2,,2
502364,2,,,,,,2,,,,,,2,,2,,1,1000,2,,2
503560,2,2,,,,,2,2,,,,,2,,1,300,1,108,2,,2
503561,,,,,,,2,2,,,,,2,,1,700,1,500,1,300,2
503593,,,,,,,2,,,,,,2,,1,480,2,,2,,2
503674,,,,,,,2,2,,,,,2,,1,1000,1,400,1,250,1
503788,,,,,,,2,2,,,,,2,,1,500,2,,2,,2
503931,,,,,,,2,2,,,,,2,,1,2300,2,,2,,2
504157,,,,,,,2,,,,,,2,,2,,2,,2,,2
504363,,,,,,,2,,,,,,2,,2,,2,,2,,2
504395,,1,2,,,,2,2,2,,,,1,340,1,790,1,260,1,115,2
504453,2,2,2,,,,2,2,2,,,,2,,1,1000,2,,2,,2
504584,2,,,,,,2,,,,,,2,,1,500,2,,2,,2
504730,,,2,,,,2,2,2,,,,2,,1,250,2,,2,,2
504792,,,,,,,2,2,,,,,2,,1,290,1,300,2,,2
504889,,2,,,,,2,2,,,,,2,,1,900,1,500,2,,2
504921,2,1,,,,,2,2,,,,,2,,1,1500,1,500,2,,2
504937,2,2,2,2,,,2,2,2,2,,,2,,1,1200,2,,2,,2
505022,,2,,,,,2,2,,,,,2,,1,450,2,,2,,2
505167,,,,,,,2,,,,,,2,,1,800,2,,2,,2
505228,,,,,,,2,,,,,,2,,1,400,2,,2,,2
505390,2,1,,,,,1,2,,,,,1,500,2,,2,,1,500,2
505517,,,,,,,2,2,,,,,2,,2,,2,,2,,2
505525,,,2,,,,2,2,2,2,,,2,,2,,2,,2,,2
505534,,2,2,,,,2,2,2,,,,2,,1,1000,1,400,2,,2
505594,,,,,,,2,2,,,,,2,,1,500,2,,2,,2
505606,,1,,,,,2,2,,,,,2,,1,500,2,,2,,2
505681,2,,,,,,2,,,,,,2,,2,,2,,1,80,2
505771,,2,,,,,2,2,,,,,2,,1,200,1,450,2,,2
505806,,,,,,,2,,,,,,2,,1,400,1,130,2,,2
505818,1,1,2,,,,1,2,2,,,,2,,1,1000,1,500,2,,2
505839,2,1,,,,,2,2,2,,,,2,,1,380,2,,2,,2
506100,2,,,,,,2,,,,,,2,,2,,2,,2,,2
506107,2,,2,,,,2,2,2,,,,2,,1,1500,2,,2,,2
506112,,,,,,,2,,,,,,2,,2,,2,,2,,2
506402,,,,,,,2,,,,,,2,,1,350,2,,2,,2
506418,,,,,,,2,,,,,,2,,1,430,2,,2,,2
506565,,,,,,,2,2,,,,,2,,1,600,1,500,2,,2
506628,2,2,,,,,1,2,,,,,2,,1,800,2,,2,,2
506736,,,,,,,2,2,,,,,2,,1,650,2,,2,,2
506738,2,2,2,2,,,2,2,2,2,,,2,,1,1400,2,,2,,2
506758,,2,2,,,,2,2,2,,,,1,100,1,1700,1,400,2,,2
506767,,2,,,,,2,2,,,,,2,,1,1000,2,,2,,1
506799,,,,,,,2,2,,,,,2,,1,600,1,500,2,,2
507182,,,,,,,2,2,,,,,2,,1,550,1,180,2,,1
507282,2,2,2,2,2,,2,2,2,2,2,,2,,1,900,1,120,2,,2
507303,,,,,,,2,2,,,,,2,,1,600,2,,2,,2
507316,,,,,,,2,2,,,,,2,,1,400,1,110,2,,2
507319,,,,,,,2,,,,,,2,,1,250,1,480,2,,2
507336,,,,,,,2,2,,,,,2,,1,1000,2,,2,,2
507419,,2,,,,,2,2,,,,,2,,1,900,2,,2,,2
507444,1,,,,,,2,,,,,,2,,2,,2,,2,,2
507640,,,,,,,2,,,,,,2,,1,400,1,250,2,,2
507644,2,,,,,,2,2,,,,,2,,1,630,2,,2,,2
507728,,2,,,,,2,2,,,,,2,,1,700,2,,2,,2
507863,,,,,,,2,,,,,,2,,2,,2,,2,,2
507905,2,,2,2,,,2,2,2,2,2,2,2,,2,,2,,2,,2
507908,2,,,,,,2,,,,,,2,,2,,2,,2,,2
507913,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
507924,2,,2,,,,2,2,2,,,,2,,2,,2,,2,,2
508861,,,,,,,2,,,,,,2,,1,400,2,,2,,2
509054,,,2,,,,2,2,2,,,,2,,1,400,2,,2,,2
509057,,2,,,,,2,2,,,,,2,,1,400,2,,2,,2
509071,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
509123,2,,,,,,2,,,,,,2,,2,,2,,2,,2
509550,,,,,,,2,,,,,,2,,2,,2,,2,,2
509601,2,2,2,,,,2,2,2,,,,2,,1,1300,2,,2,,2
509689,2,2,,,,,2,2,,,,,2,,1,350,2,,2,,2
509717,,2,,,,,2,2,,,,,2,,1,800,2,,2,,2
509806,2,2,2,2,,,2,2,2,2,,,2,,2,,2,,2,,2
509869,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
509889,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
510109,2,,,,,,2,,,,,,2,,2,,2,,2,,2
510329,2,2,,,,,2,2,2,,,,2,,2,,2,,2,,2
510345,2,2,2,2,2,,2,2,2,2,2,,2,,1,500,2,,2,,2
510432,2,,,,,,1,,,,,,2,,2,,2,,2,,2
510433,1,,2,,,,2,2,2,,,,2,,1,500,2,,2,,2
511074,2,,,,,,2,,,,,,2,,2,,2,,2,,2
511136,2,2,,,,,2,2,,,,,2,,1,400,2,,2,,2
511160,,,,,,,2,2,,,,,2,,1,700,2,,2,,2
511260,,,,,,,2,,,,,,2,,2,,2,,2,,2
