NQUEST,NORDP,MOTUSC,ANNOENUS
22169,2,1,2018
22173,2,1,2019
24809,2,1,2017
28992,1,1,2020
31625,1,1,2018
32861,3,4,2017
33335,4,4,2020
33335,3,4,2020
35022,3,4,2017
36333,2,4,2020
36893,3,4,2020
37299,3,4,2020
38095,3,4,2019
39488,2,1,2018
39697,3,4,2017
53202,2,1,2017
53552,2,4,2020
56251,1,1,2020
56582,3,4,2020
56658,2,1,2018
244058,3,5,2020
501694,3,4,2020
505806,1,1,2019
506418,2,1,2019
506628,3,5,2017
506628,5,5,2017
506628,1,5,2017
506628,2,5,2017
507640,2,1,2020
507905,3,4,2017
508861,1,1,2019
509057,3,4,2017
509057,4,4,2017
510433,3,4,2017
511501,1,1,2019
512457,5,1,2017
512457,3,4,2020
512843,4,4,2020
512843,3,5,2019
513369,2,1,2018
513377,2,1,2020
614660,2,5,2017
616016,1,1,2018
620858,3,4,2019
621762,2,1,2017
621773,3,4,2017
625536,1,5,2020
625536,2,5,2020
625983,3,4,2019
635513,3,4,2018
635514,3,4,2019
636401,2,1,2018
639331,4,4,2020
639331,3,4,2020
641084,1,1,2018
673451,3,4,2018
673661,3,4,2017
674968,5,2,2020
674968,4,2,2020
675086,2,4,2018
676374,3,4,2020
677195,2,5,2020
683247,5,4,2017
683247,4,4,2019
683737,2,1,2017
684525,2,4,2020
684784,3,4,2020
684937,3,4,2018
685130,2,1,2018
685368,3,4,2020
685965,4,4,2018
685965,3,3,2018
687018,2,1,2019
687056,3,4,2017
687056,2,1,2020
687699,3,4,2018
687849,2,1,2019
687892,2,1,2019
687892,3,5,2020
688277,3,1,2018
700037,3,3,2019
704702,2,4,2020
704911,3,4,2018
706234,1,1,2019
706634,2,1,2017
707312,3,3,2020
713319,9,4,2019
713319,6,4,2018
713319,4,4,2019
713319,7,4,2019
713319,5,4,2019
713400,2,1,2017
714734,3,4,2018
716908,3,4,2018
723207,3,4,2019
724899,3,2,2018
735659,4,3,2020
736011,3,1,2019
801541,4,3,2018
801541,2,3,2017
804209,3,4,2018
805475,3,4,2020
805475,2,4,2019
808122,2,1,2020
813379,2,1,2020
815291,3,4,2018
816897,3,3,2020
817487,2,1,2017
817742,3,4,2018
817742,5,4,2019
817742,4,4,2018
817742,6,4,2019
822266,2,1,2017
823488,3,4,2020
823488,4,4,2018
823506,6,4,2020
823506,4,2,2020
823506,3,3,2020
824887,3,3,2019
824887,1,1,2019
827639,2,1,2017
850013,3,4,2017
850013,4,4,2017
850013,1,4,2017
853318,1,4,2018
854559,1,1,2017
855376,3,4,2018
